perturbation,text_id,крупный,мелкий,средний
add_punctuation,coling::6b54ef51-f42e-4ac2-840e-6b536faab7cf,-5.91,19.81,-12.61
add_punctuation,coling::6c998ea5-d795-44ca-8a25-22424b17cd7f,12.02,17.15,1.74
add_punctuation,coling::6d5e183d-832b-4aa4-a6e2-563f242380e3,2.65,43.48,-2.63
add_punctuation,coling::6ea6d618-d59e-455d-a265-490e14187344,12.56,28.78,0.48
add_punctuation,coling::6ec72689-8b99-420d-9182-0a2fa5a40cbc,-11.66,23.05,-16.77
add_punctuation,coling::724b2f69-4d19-4d08-9bbd-53e0153760b2,-1.04,32.72,-0.51
add_punctuation,coling::7426cf8e-20e5-4e81-bfbb-380b1547f405,-11.55,18.34,-6.06
add_punctuation,coling::745b25d5-34c6-4c43-a690-6414f20591ce,11.61,17.99,-7.95
add_punctuation,coling::76136b55-6fc5-43fa-b998-384c79a14fe7,-13.25,-3.07,-11.5
add_punctuation,coling::772c8684-83a7-4b50-8a32-d059bec2d49f,11.53,24.4,-0.9
add_punctuation,coling::7876816d-0ac2-4404-b2bf-deeaa0b7ea1d,-4.43,26.26,-16.85
add_punctuation,coling::78c59284-8d42-44bc-9994-350a50f2de49,-4.23,18.13,-12.23
add_punctuation,coling::794e6ae3-4244-4f1a-902e-9f1eb5845396,-9.95,3.85,-11.06
add_punctuation,coling::79eb7194-07a0-4dd2-a0b2-7911976fc4b5,5.48,27.09,-0.47
add_punctuation,coling::7a09dbe7-814b-4d82-b5b3-a15b926a87fa,-4.14,5.81,-14.09
add_punctuation,coling::7a28bc6c-3b1e-4ac2-a169-10374ef5da58,-11.66,-0.69,-13.09
add_punctuation,coling::7b1cbc13-ed47-4ccb-81a7-d64aa32c73e5,-3.72,27.24,-5.36
add_punctuation,coling::7c3f2a9c-bdfc-4800-8191-0036c8cec709,9.71,25.76,-3.87
add_punctuation,coling::817b2dbf-699e-4bec-825a-2bbdf59831d4,2.47,15.67,-7.75
add_punctuation,coling::8986a229-067f-4f9d-8d01-514889d3d128,5.13,36.36,-2.62
add_punctuation,coling::8c3cf713-de3f-4e3d-9e94-ba8bcf48962d,4.81,17.75,-2.13
add_punctuation,coling::8d68dd4d-1de2-4490-8a68-ccd52f7f2c5f,-7.89,9.66,-12.77
add_punctuation,coling::8df379b4-a387-496d-947d-b224f86ba11c,-9.78,13.68,-13.98
add_punctuation,coling::8e0f7cff-07ca-48c6-b381-34b577d189e0,8.45,12.19,-1.58
add_punctuation,coling::8eb96c1a-6193-4f0f-843b-4b91efbea553,-13.15,53.98,-15.42
add_punctuation,coling::9600c031-1ba2-4882-9aa0-8cb6b07d966a,9.39,0.97,-7.53
add_punctuation,coling::97ce3bac-5618-4fcb-8600-bcf08ed8dc09,4.7,21.32,-9.13
add_punctuation,coling::9be05dd7-05a8-4b0e-a617-ae611f4d915d,-19.07,27.9,-27.24
