mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,genre,text_idx
q_large,0.05,8.396525599842855,0.40229650129311345,0.8809031202121607,3.6306231817864836,0.9997902429109525,0.006519078650391552,0.011119827427560125,0.005706200437770474,7,41,201,xsum,2
q_large,0.1,8.098794281389115,0.39173616863024885,0.8765248300851421,3.5781457766384253,0.9997679152386449,0.006823263360617808,0.011666026161560872,0.005972455689431212,7,41,201,xsum,2
q_large,0.15,7.792035769101965,0.3858090197093496,0.8716638334791358,3.5252403396651584,0.9997343574922171,0.007259549980356018,0.012457337774043786,0.0063543407738202535,7,41,201,xsum,2
q_large,0.2,7.473792673432322,0.3755515936738431,0.8661991249028383,3.471379730778355,0.9996988528546183,0.0076811582892223375,0.013216147793700728,0.006723377818108125,7,41,201,xsum,2
q_large,0.25,7.154235783329832,0.36223331462620206,0.8602226666431498,3.415292362197621,0.9996616820277214,0.008085392169057473,0.013971822751190466,0.007077206889021139,7,41,201,xsum,2
q_large,0.3,6.818303043551882,0.351786809790776,0.853335940979375,3.3579789022909874,0.9996069813916314,0.008645022937978883,0.014984898172009764,0.007567056070150036,7,41,201,xsum,2
q_large,0.35,6.475790312146459,0.3448108672493068,0.8455786935960036,3.298187065003484,0.9995274503496281,0.00939365459876052,0.01634118162127951,0.008222339207472583,7,41,201,xsum,2
q_large,0.4,6.115125123557625,0.3353998377553195,0.8364710484585759,3.2366423998635425,0.9994254565350444,0.010246872932204628,0.017875028256299608,0.008969167875894943,7,41,201,xsum,2
q_large,0.45,5.728158223287642,0.32556528817791525,0.8254238166930284,3.1740881488904082,0.9992780310528181,0.011335672259395257,0.019806170798087663,0.009922202427347425,7,41,201,xsum,2
q_large,0.5,5.317025445340021,0.31170071180025394,0.8119249173658881,3.1105201377286114,0.999078832396911,0.01259619904037793,0.022047580111776988,0.011025551359797063,7,41,201,xsum,2
q_large,0.55,4.885870786007157,0.29280190005177265,0.7953281935199882,3.0457208624650165,0.9988122064521048,0.014012935857355491,0.024552340227547376,0.012265632156300008,7,41,201,xsum,2
q_large,0.6,4.455162998258332,0.26822068303584423,0.7755413212960036,2.9758828736085374,0.9984842364150549,0.015438470284390127,0.027186152742117997,0.013513413569569711,7,41,201,xsum,2
q_large,0.65,4.041751180551807,0.2391317104451917,0.7525824932490096,2.895316507298863,0.9981118476331825,0.016723886848117642,0.0296477689304524,0.014638548723172872,7,41,201,xsum,2
q_large,0.7,3.7011911124202754,0.20428559522134743,0.7298167077500405,2.7817752747970417,0.9979167271698643,0.017037031288594663,0.02999454692103054,0.014912646496671591,7,41,201,xsum,2
q_large,0.75,3.488238263929047,0.1724582909072572,0.7133223351338306,2.5984014237103557,0.9980299125435906,0.016192391374754467,0.02999400506728822,0.014173326585901092,7,41,201,xsum,2
q_large,0.8,3.3761524397890095,0.16550594010592082,0.703804843580317,2.3272242335385176,0.9978763584416345,0.016588560007916527,0.03385378181874188,0.014520096083434995,7,41,201,xsum,2
q_large,0.85,3.3436838385453282,0.16982787846452027,0.7009286618333357,1.9399426234008177,0.9976572773029778,0.017353927154531813,0.03519258863503616,0.015190027922163304,7,41,201,xsum,2
