текст,условие,проекция,"доля > 0, %"
4,эхо x2,0.012502609200091674,61.702127659574465
4,эхо x2 [случайная ось],0.0010018187554540808,48.93617021276596
4,эхо x4,-0.04547114056322679,20.0
4,эхо x4 [случайная ось],0.01044047088293377,62.857142857142854
4,эхо на четверти,0.007798427146293572,59.523809523809526
4,эхо на четверти [случайная ось],-0.001482821639631497,52.38095238095239
4,словарь к 25,0.06805091654216744,93.02325581395348
4,словарь к 25 [случайная ось],0.001240152482232284,46.51162790697674
4,словарь к 60,0.04373987846071811,72.72727272727273
4,словарь к 60 [случайная ось],-0.006921548144172099,36.36363636363637
4,все слова разные,0.22690755372677932,100.0
4,все слова разные [случайная ось],0.00018002665895695678,56.52173913043478
4,чужие хапаксы,0.1148699805799065,100.0
4,чужие хапаксы [случайная ось],-0.0019308649004365738,47.22222222222222
4,хапаксы одного домена,0.15314418005084068,100.0
4,хапаксы одного домена [случайная ось],0.005733827314201798,56.666666666666664
4,20 чужих хапаксов,0.03419822393495933,78.78787878787878
4,20 чужих хапаксов [случайная ось],-0.0035068770697337937,42.42424242424242
4,маркер каждые 3,-0.002679846482886559,44.871794871794876
4,маркер каждые 3 [случайная ось],0.009281924425154147,66.66666666666666
4,без пунктуации,0.12947652061629222,98.0392156862745
4,без пунктуации [случайная ось],0.0019356905032193055,62.745098039215684
4,без служебных,0.08633836524936839,94.0
4,без служебных [случайная ось],-0.0029606140907284693,42.0
5,исходный,-0.01879274004191974,32.55813953488372
5,исходный [случайная ось],0.00047486736796305073,60.46511627906976
5,перемешивание,0.35272846958840515,100.0
5,перемешивание [случайная ось],-0.010168774152463539,32.55813953488372
5,эхо x2,0.07884308242286994,88.37209302325581
5,эхо x2 [случайная ось],0.0005818108195050392,53.48837209302325
5,эхо x4,0.022209070074360866,51.61290322580645
5,эхо x4 [случайная ось],0.008271828870605472,67.74193548387096
5,эхо на четверти,0.03772026971193479,74.4186046511628
5,эхо на четверти [случайная ось],0.0031798656704984185,55.81395348837209
5,словарь к 25,0.09514649845906584,93.33333333333333
5,словарь к 25 [случайная ось],0.009206609781292972,68.88888888888889
5,словарь к 60,0.08830264675952493,90.2439024390244
5,словарь к 60 [случайная ось],-0.01116450246691302,14.634146341463413
5,все слова разные,0.22791942369995707,100.0
5,все слова разные [случайная ось],-0.0032905272469356465,39.473684210526315
5,чужие хапаксы,0.15656269650694987,97.67441860465115
5,чужие хапаксы [случайная ось],-0.005819144394658844,37.2093023255814
5,хапаксы одного домена,0.1653302733617764,100.0
5,хапаксы одного домена [случайная ось],-0.0036347073218042335,37.5
5,20 чужих хапаксов,0.016266962180578607,61.702127659574465
5,20 чужих хапаксов [случайная ось],0.00035243663610606455,48.93617021276596
5,маркер каждые 3,-0.02326521589301242,37.9746835443038
5,маркер каждые 3 [случайная ось],0.021770430852388077,82.27848101265823
5,без пунктуации,0.1578701535875711,98.21428571428571
5,без пунктуации [случайная ось],0.001847153874547759,60.71428571428571
5,без служебных,0.081459716954743,96.0
5,без служебных [случайная ось],-0.0018169291877708532,46.0
6,исходный,0.005484829571008478,54.90196078431373
6,исходный [случайная ось],-0.002652631201997994,39.21568627450981
6,перемешивание,0.38466273670174883,100.0
6,перемешивание [случайная ось],-0.01807110370542668,16.363636363636363
6,эхо x2,0.05257342273768907,83.33333333333334
6,эхо x2 [случайная ось],-0.00010530227428983428,44.44444444444444
6,эхо x4,-0.019571716427238543,34.21052631578947
6,эхо x4 [случайная ось],0.002868613565582193,57.89473684210527
6,эхо на четверти,0.024886735897975375,59.57446808510638
6,эхо на четверти [случайная ось],-0.0020398885487255213,40.42553191489361
6,словарь к 25,0.059938020364117925,86.56716417910447
6,словарь к 25 [случайная ось],-0.00021146665726636232,59.70149253731343
6,словарь к 60,0.09358670439009835,96.42857142857143
6,словарь к 60 [случайная ось],-0.006942463422438068,32.142857142857146
6,все слова разные,0.25007613573301013,100.0
6,все слова разные [случайная ось],-0.00809604925590762,33.9622641509434
6,чужие хапаксы,0.16488919581367184,98.11320754716981
6,чужие хапаксы [случайная ось],-0.006405733218049002,37.735849056603776
6,хапаксы одного домена,0.16368710472344786,100.0
6,хапаксы одного домена [случайная ось],-0.0064851338293372305,39.58333333333333
6,20 чужих хапаксов,0.027320818512623905,76.31578947368422
6,20 чужих хапаксов [случайная ось],0.000437494254140674,42.10526315789473
6,маркер каждые 3,-0.06967757536040663,33.734939759036145
6,маркер каждые 3 [случайная ось],0.011494609225992727,69.87951807228916
6,без пунктуации,0.16430328545245376,100.0
6,без пунктуации [случайная ось],-0.002273514287389726,45.588235294117645
6,без служебных,0.08073533017892474,96.49122807017544
6,без служебных [случайная ось],-0.010909612013299963,22.807017543859647
7,исходный,0.022763830036737487,62.745098039215684
7,исходный [случайная ось],-0.015144110269797383,19.607843137254903
7,перемешивание,0.33707534511451154,100.0
7,перемешивание [случайная ось],-0.009298815115779615,24.528301886792452
7,эхо x2,0.0638479590484818,87.2340425531915
7,эхо x2 [случайная ось],-0.006768853908181127,31.914893617021278
7,эхо x4,0.010049547529465335,54.09836065573771
7,эхо x4 [случайная ось],0.009278703602170672,80.32786885245902
7,эхо на четверти,0.10702404494954881,100.0
7,эхо на четверти [случайная ось],-0.011197926157338856,22.727272727272727
7,словарь к 25,0.13483122394179903,100.0
7,словарь к 25 [случайная ось],-0.017413528494590613,18.181818181818183
