текст,условие,зерно,типов k>=2,радиус по типам,радиус по токенам,"до ближайшего, прочие",прочие: доля на оси,прочие: смещение,экземпляров маркера,"доля выборки, %",радиус маркера,радиус прочих,"до ближайшего, маркер",до ближайшего центра,зазор маркера,"коротких рёбер маркерных, %",маркер: доля на оси,маркер: смещение
18,исходный,0,27,0.286250613497901,0.33218755026402735,0.5466473641033546,0.019320039078593254,0.4543233004958104,,,,,,,,,,
18,исходный,1,30,0.2983632956641237,0.3373183500808014,0.5592779179748909,0.01867126300930977,0.4569682233523788,,,,,,,,,,
18,исходный,2,38,0.28051764257378836,0.30852509829449465,0.5491007994741895,0.020047612488269806,0.4548089821291319,,,,,,,,,,
18,маркер каждые 3,0,23,0.3199917774773007,0.3472840165682188,0.5628855742052025,0.04133497551083565,0.5950582883986402,40.0,19.900497512437813,0.3420749608021416,0.3189879964170806,0.37962738563946974,0.7550060411427328,0.7744866614484665,45.0,0.014943396672606468,0.7298387004688431
18,маркер каждые 3,1,31,0.2864812242770487,0.32252388366297974,0.5421115279776162,0.0408456027507782,0.5758170626838409,45.0,22.388059701492537,0.3439800139554465,0.28456459795443545,0.35745242139509176,0.7747390237397066,0.7626144383886443,45.0,0.01851278729736805,0.749740830900075
18,маркер каждые 3,2,28,0.32452463571581275,0.3515092170985247,0.571612516125187,0.04305276647210121,0.587189431046088,48.0,23.88059701492537,0.3505473561501665,0.32356083125528107,0.3685325144263418,0.7613569584254425,0.7351483621125627,60.0,0.01683557778596878,0.7534829380601517
19,исходный,0,28,0.2584965576903834,0.28295401421812827,0.5127887549510914,0.01751452498137951,0.4371856097940597,,,,,,,,,,
19,исходный,1,32,0.26319728615207133,0.2855534852389533,0.49893613791988073,0.016875864937901497,0.4391208910570427,,,,,,,,,,
19,исходный,2,33,0.2581552017945511,0.27564415409809,0.5335893429793883,0.016763625666499138,0.4524545029039882,,,,,,,,,,
19,маркер каждые 3,0,27,0.3050299630660065,0.33773947077414784,0.5673474107935025,0.07049828767776489,0.6106454791308719,48.0,23.88059701492537,0.34858399959822617,0.30335480781476726,0.3563677979062361,0.8332813827559179,0.8196712389768127,65.0,0.015338331460952759,0.7603189798177953
19,маркер каждые 3,1,25,0.3143899794678728,0.3366678575755369,0.5656989074446908,0.06659629195928574,0.6067470336623497,51.0,25.37313432835821,0.3573113242854961,0.3126015901004718,0.3679216498315183,0.7486003259509999,0.8169412085428446,42.5,0.013731462880969048,0.7627580549600488
19,маркер каждые 3,2,26,0.3313702344494486,0.34105303652307195,0.5709092466852823,0.07124532014131546,0.6182714565898504,46.0,22.885572139303484,0.3462624318060113,0.33077454655518607,0.33735666480807397,0.7602459897003768,0.8356105350450239,45.0,0.014224857091903687,0.7529286418314876
20,исходный,0,34,0.25930278261454376,0.2930163489105489,0.4962503686373577,0.009967736899852753,0.4738473758508384,,,,,,,,,,
20,исходный,1,33,0.2749024031397901,0.29977716382692016,0.490597942866207,0.010314447805285454,0.47109298883814066,,,,,,,,,,
20,исходный,2,34,0.26758508683891313,0.29031549839514054,0.5263140528100047,0.010631567798554897,0.4713972761281573,,,,,,,,,,
20,маркер каждые 3,0,24,0.32709875596639654,0.35927521188826494,0.5557995384176982,0.041400130838155746,0.6191577494751128,44.0,21.890547263681594,0.34398263609319324,0.3263646742217532,0.3623062092783686,0.6903869623935437,0.8122364522918373,52.5,0.006501336582005024,0.7114765417924365
20,маркер каждые 3,1,27,0.32062362192537597,0.357633516664274,0.5437115399084168,0.039344508200883865,0.6047034000861214,40.0,19.900497512437813,0.34502178623382673,0.3196852309904355,0.36957870426135964,0.7074512351172981,0.7416159081334421,42.5,0.007125235162675381,0.7156556867761336
20,маркер каждые 3,2,23,0.3268603555963007,0.3580606907907811,0.5450638004356547,0.03964190557599068,0.5970059640675236,36.0,17.91044776119403,0.3378157330343649,0.3263623838945705,0.3665679093067024,0.7054055819858117,0.8329200798905969,45.0,0.006954728625714779,0.7138930357713379
21,исходный,0,29,0.2885389452112744,0.32127148311533565,0.5750643885702063,0.016028985381126404,0.4759289054042869,,,,,,,,,,
