mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,genre,text,L_used,seed
q_small,0.2,26.115824858171905,2.4224905353738695,0.9617090401918862,3.2404155561936343,0.9999181652990258,0.004603283358626574,0.0073461403899415245,0.0035518498163197615,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q_small,0.4,32.74792338026866,3.607955672464396,0.9694637126028418,2.953812126391143,0.999927748963955,0.004360203677247541,0.00835914791545811,0.0033642918377218976,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q_small,0.6,34.433125510307235,3.5497653118677994,0.9709581983865897,2.5741781444911376,0.9999429548260146,0.003880251405661655,0.0058880739369460144,0.00299396521325288,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q_small,0.8,46.48952204162357,12.80377522361622,0.9784897767048526,1.8881344161059272,0.9997801133225587,0.007677874230475709,0.015045088619753955,0.00592417499655676,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q_large,0.0,14.876527553614606,1.5218462942498945,0.9327800122443879,3.501101250127665,0.9996740233494569,0.008912114634323648,0.022278278695962328,0.00687650319583791,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q_large,0.2,12.062561589822021,0.7538242308979572,0.9170988688800755,3.287244306758291,0.9998085665617079,0.006714352234851763,0.011199186561266394,0.005180730555587558,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q_large,0.4,10.962702056791787,1.5943367226769343,0.9087816128889078,2.9890183528372414,0.9987230704886406,0.017193248578452665,0.0405096986882878,0.013266147670635067,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q_large,0.6,6.654774713477098,0.5910435266724698,0.8497319529127225,2.7233953508454807,0.9985220813691448,0.017296804015991697,0.024208497768561266,0.01334605006489299,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q_large,0.8,4.117932693577872,0.3905455193366915,0.7571597025955399,2.1550001321481567,0.9944792467799802,0.029848759492481013,0.05339219466385803,0.023031019961450475,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q0.5_range,0.0,8.422004770540559,0.9012316363543691,0.8812634251291435,2.8712457377016896,0.9987543118007612,0.016467155148677158,0.042795372926070385,0.012705900861073344,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q0.5_range,0.2,20.446811621813087,2.1812851721442756,0.9510926193043624,2.7605757439273524,0.999819469856169,0.0067619876063524905,0.011407939481568263,0.0052174855568190405,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q0.5_range,0.4,31.134542049367454,3.4009621382768325,0.9678813326236055,2.7563602700426553,0.9999211672910808,0.004547052281426286,0.009899928212474762,0.0035084624500280426,8,20,100,fixed_L_small,xsum,xsum_1,100,1
q_small,0.0,10.213511619700501,0.5826508543860407,0.9020904819777036,3.6259624179445713,0.9997700319038298,0.0072515992700169975,0.010043067878332756,0.005585450572962612,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q_small,0.2,12.981457295449498,1.1213855940548256,0.9229670462074748,3.4031354541983228,0.9996882118678333,0.00863940151397802,0.020088504460344936,0.006654387306786394,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
q_small,0.4,17.439089277701363,0.5725717316576636,0.9426575560182114,3.0680684769999975,0.9999760669773597,0.0024443190039411095,0.004076750548275498,0.0018827051072051683,8,45,228,fixed_L_mean,xsum,xsum_1,228,1
