текст,условие,"радиус, абс","каркас: парная, абс","каркас: ребро MST, абс","каркас: до ближайшего, абс","облако: парная, абс",r / ребро каркаса,норма вектора
16,эхо x4,5.613717079162598,32.22855814650728,25.99714927165783,25.629567764096862,33.10423473423527,0.21600448309547035,36.95672098795573
16,чужие хапаксы,8.291599750518799,27.758989619376635,21.427580025965955,21.190773138280928,29.46188483460777,0.3869725711999427,37.78382873535156
16,без пунктуации,7.858315149943034,26.608036728110033,20.918611035780287,20.666809330114788,27.6597479452323,0.37577550527955844,37.363749186197914
17,исходный,8.321794509887695,30.80327275505717,23.65556529483993,23.214896278862174,32.2305596681001,0.35180790074689644,37.900953928629555
17,перемешивание,8.944080670674643,29.093101284462858,22.55049639931349,22.331373473907405,30.93906109477803,0.39663673917759334,37.53253428141276
17,эхо x4,5.239919503529866,34.09416964162876,27.67579360775319,27.294568030766374,34.98658453619877,0.18935921737949615,37.28677495320638
17,чужие хапаксы,7.71023432413737,29.297057156951187,22.217300497226674,21.8973319645679,31.23143329700083,0.34691255691141426,37.88774108886719
17,без пунктуации,8.405915896097818,29.206671031271256,22.683347473853143,22.328707934485994,30.002774627027197,0.370583387152329,37.426439921061196
18,исходный,8.03972053527832,29.957893740479317,22.592541709789142,22.067508692119087,31.013643841149044,0.35588005316125065,37.98008346557617
18,перемешивание,8.58474858601888,28.652647780253954,21.591038985325422,21.1768934043403,30.153968853157327,0.39760624690076635,37.61472193400065
18,эхо x4,5.685812791188558,32.11673021724031,25.241995853769776,24.716556460425696,32.872568649262334,0.2252923025326384,37.25855509440104
18,чужие хапаксы,7.810471852620442,28.500226312939162,21.536917751780667,21.206870923956533,30.14253231273935,0.3626559750089602,37.998635609944664
18,без пунктуации,8.04483413696289,27.68245909697526,21.51125439454862,21.160684174018453,28.64574029950056,0.3739833504623306,37.719861348470054
19,исходный,8.159292856852213,30.213058974634535,23.11219932522694,22.653428837886224,32.06968033355247,0.3530576463312649,37.751118977864586
19,перемешивание,9.234260241190592,29.55329177843195,23.114007403947294,22.664349028471577,31.68295231231323,0.3994905386838936,37.27261606852213
19,эхо x4,6.439443747202556,34.92873338407756,28.389185436057108,27.637687232735328,35.98099709239193,0.22689116157567213,37.39118194580078
19,чужие хапаксы,8.337788581848145,28.297376987415234,21.28096963162248,20.861483927715923,30.6849232029419,0.3918663970601262,37.68361790974935
19,без пунктуации,8.305446942647299,28.270369659064528,21.939606625048867,21.53649595724419,29.17466630591832,0.37857157594971236,37.060777028401695
20,исходный,8.02269713083903,30.778018152922627,23.01355471413076,22.546623917614298,31.73872859349163,0.3485898628597708,37.699591318766274
20,перемешивание,8.495992660522461,27.14784183432258,20.59828070185529,20.20913280943758,29.27959177550918,0.4124940793354898,37.509681701660156
20,эхо x4,5.890500704447429,33.075998868906304,25.63871310997871,25.16293306951278,33.97891460701219,0.22974782208167932,36.87592315673828
20,чужие хапаксы,7.72421916325887,28.167667775466715,21.214495387019696,20.807562931482668,29.996071953990747,0.36410624167100325,38.0027109781901
20,без пунктуации,8.429994265238443,27.527952228789115,21.066683380770026,20.579381273015546,28.944550916664237,0.40014344310952454,37.356039683024086
21,исходный,8.108757972717285,31.13933038156792,23.53013088089986,23.067336066783014,31.830444127744357,0.34465771955396934,38.0491828918457
21,перемешивание,8.376535733540853,28.974201191139628,21.979924219418336,21.6196593033161,30.15338422767742,0.3811195342957692,37.77812067667643
21,эхо x4,4.979644616444905,34.06557052239191,26.695022296502486,26.13298712046934,34.15655643955067,0.18653974187017086,37.081957499186196
21,чужие хапаксы,7.878824392954509,28.5841288952585,21.78630864010958,21.454320377618203,29.869895004644253,0.3616381738634162,38.00400034586588
21,без пунктуации,8.22795295715332,27.7807334562608,21.526127421671788,21.16605089120342,28.632338691420426,0.3823032856258522,37.5854746500651
22,исходный,8.500840822855631,30.476131384196123,23.32814252265965,22.840577115703667,31.32972781772135,0.36440423780563136,37.755242665608726
22,перемешивание,8.970714251200357,27.15929634545868,21.051650030191322,20.66563064319446,29.06873927754616,0.4262030567540049,37.75994745890299
22,эхо x4,6.26481564839681,30.858124045322537,24.268547558860934,23.81999472388919,31.621759068284835,0.25816660819032955,37.009029388427734
22,чужие хапаксы,8.791449864705404,29.72141096749264,22.609119685062534,22.21674299707784,31.35423816993315,0.3888839724926394,37.9265251159668
22,без пунктуации,8.60428237915039,28.066387058920725,21.81646952772189,21.34926588596275,29.18703088810082,0.39432559169492026,37.42397944132487
23,исходный,8.467264811197916,30.72187649322238,23.398923715763278,22.926481481044306,31.68293249388582,0.3618434737611866,38.04287974039713
23,перемешивание,8.696356137593588,28.78841493547115,22.209398130589918,21.864248934705106,30.220415949796664,0.3916068568227742,37.51820755004883
23,эхо x4,5.825765927632649,32.42012431806753,25.880446659179878,25.411900934163715,33.17377923840755,0.2251359379473732,37.31347401936849
