текст,условие,стоков,норма стока,норма прочих,косинус стока с общим,разброс внутри стока,сток → облако,масштаб,сток: проекция на ось,сток: смещение,прочие: проекция на ось,прочие: смещение
38,исходный,8,26.261791,38.38129,0.9997718930244446,0.05745146682350456,1.0983951767156284,31.705917061130066,0.14061276678737644,1.0898156347080596,-0.006311933800418699,0.447727650995333
38,чужие хапаксы,6,26.639643,38.141666,0.995898425579071,0.15295112370282854,1.081976318639007,31.29781167571737,0.1529950323538288,1.0591284627558493,0.12705786312161604,0.5076119779029558
38,перемешивание,6,26.261038,37.93238,0.99947190284729,0.05763055670929071,1.1637501563096995,29.907120929513262,0.19094581154218324,1.1789050567759192,0.343811514094782,0.6852225095067972
39,исходный,4,26.24558,37.70099,0.9997262358665466,0.036513011802098476,1.0773676539083434,31.424999017745357,0.18062147524505032,1.1627143003319373,0.03982266009614018,0.45564353989298595
39,чужие хапаксы,3,26.19123,37.713955,0.9985364079475403,0.040266747805294205,1.104531516966307,30.643557503813728,0.16392130211240782,1.2716903448983565,0.17090366577085853,0.5370180773181346
39,перемешивание,3,26.427729,37.203526,0.9995132088661194,0.09452016925216596,1.1931091880048899,28.730635930217915,0.20372513738084225,1.185141785564709,0.3163566100308426,0.6785211037898254
40,исходный,6,26.323683,37.893173,0.99982088804245,0.07102509421071121,1.1251436725255224,30.705408886537036,0.1545889207999663,1.0558398513449785,0.03809531076864803,0.4559006302967798
40,чужие хапаксы,7,26.149723,37.8318,0.9989827275276184,0.06554784806171139,1.1140475062191735,30.4323227640002,0.18307768893398052,1.0803756890255514,0.17998254218447782,0.5412987605206919
40,перемешивание,7,26.220324,37.51172,0.998978853225708,0.03916711551085778,1.0774948997279756,31.05114192229459,0.18576746596505106,1.1054243365239553,0.3613656977253216,0.6943030563716343
41,исходный,3,26.177874,38.24769,0.9983281493186951,0.024407136086143966,1.127880083252895,30.932261993710018,0.16671694928169287,1.1042776762795512,-0.006976209627907819,0.44849028337013874
41,чужие хапаксы,3,26.180456,38.19474,0.9974978566169739,0.014232612110068085,1.2365797464262211,28.882596124959992,0.17934980708802423,1.028895942925292,0.1611949892079464,0.5621763353626016
41,перемешивание,5,26.166965,37.66085,0.9966629147529602,0.03539779780963233,1.2628695939851324,27.733075826703956,0.2352661992082217,1.4924612522353375,0.3539800499500882,0.7027170891147005
42,исходный,5,26.217733,37.861656,0.9992299675941467,0.036458619590772096,1.0720980695353457,31.645555799695458,0.15433816860033933,0.9928253031335744,-0.00788405532046072,0.43143622014400046
42,чужие хапаксы,6,26.271034,37.848164,0.9997560381889343,0.05363995236470082,1.10892805415718,30.97846599323137,0.17695701343524517,1.0289004115199136,0.13285407252859596,0.499011953760407
42,перемешивание,7,26.273932,37.54528,0.9996689558029175,0.04206172344934861,1.048383400879885,31.785795085275133,0.15701707080314692,1.0074948535175745,0.30646905466992785,0.6357124284772726
43,исходный,5,26.357855,37.515484,0.999596893787384,0.051077789763950686,1.0298824667844162,32.31476584945892,0.185575048845556,1.1729067324042848,0.017523464615523978,0.45721927504697774
43,чужие хапаксы,4,26.310965,37.571175,0.9998334646224976,0.07742240675019471,1.0872080351198032,30.981512756814123,0.18504923331694825,1.1837128240509904,0.1452213150696158,0.5303525934915897
44,исходный,6,26.219675,38.057343,0.99945068359375,0.07903393854084936,1.009433158047262,32.84071720483657,0.161587058828684,1.1186777080423584,-0.018730461274317968,0.44131926899529333
44,чужие хапаксы,6,26.239695,38.23408,0.9993164539337158,0.0344244823389562,1.0342608546274197,32.86395530127876,0.16411373399399012,1.1507418376003409,0.09560411579320795,0.4928320704045714
44,перемешивание,5,26.299128,37.81573,0.9997838139533997,0.04281582930818948,1.1232661060922888,30.621376311032453,0.18443950161756167,1.3015381317676589,0.30528362010181453,0.6556218727310595
45,исходный,3,27.091887,37.92192,0.9784106612205505,0.15162557699173265,1.029749535378121,32.7388747221491,0.17679860877743508,1.0175835652805303,-0.004702331356859361,0.472631252786691
45,чужие хапаксы,4,26.219172,37.82963,0.9982807040214539,0.04389712746035608,1.059349352086307,31.76044309595488,0.17013349979320394,1.003560603292201,0.07084124141609387,0.4923183389262443
45,перемешивание,5,26.193436,37.904797,0.9979075193405151,0.0400169776076649,1.0977557887045017,31.063193162575434,0.18514813330999785,1.0329033911436063,0.28691341965595535,0.6961058356628158
46,исходный,4,26.74748,37.70959,0.9954761266708374,0.14631297070824317,1.0095576229801277,33.11321909502049,0.1846134995578799,1.1751174762916812,-0.03296567393503419,0.5064735428695041
46,чужие хапаксы,7,26.440168,37.601063,0.9993636608123779,0.08321967199374249,1.0928778529138385,31.111607102472988,0.18440576567154812,1.2555491824607117,0.1575143361531705,0.5592826711486699
46,перемешивание,5,26.218792,37.56302,0.9994649291038513,0.03659368289614315,1.0440927830852194,31.79599002351305,0.19184523900849268,1.294309936057214,0.24084663101741222,0.6032542625305007
47,исходный,7,26.817324,38.078617,0.9962695240974426,0.16089310697758086,0.9506480754301768,34.269300841550184,0.14475144330606254,0.9318081847128938,0.005721018613447834,0.47994634960113625
47,чужие хапаксы,6,26.326668,37.607456,0.9999008178710938,0.06442103604574298,1.023768014103957,32.36318798941659,0.14227572400169688,1.050116418147166,0.11523118565858523,0.5178905025593211
47,перемешивание,3,26.233,37.379314,0.9990498423576355,0.06317452364474535,1.0058624289062763,32.265860774950795,0.17195196603155957,1.00948573305164,0.2691169341012663,0.6321770163819295
48,исходный,11,26.440674,37.227196,0.9989926815032959,0.1043827352368983,1.0766254243321038,30.81149564694164,0.16601181289535794,1.1227688875148578,0.0326973699581295,0.47534036075959285
48,чужие хапаксы,7,26.235826,37.13842,0.9992515444755554,0.06610567838551337,1.1347287692407328,29.437296313313382,0.1697779130658369,1.159910675335487,0.15420489901182918,0.5422727036245114
48,перемешивание,7,26.552355,37.048733,0.998604416847229,0.12411864632401391,1.1556553333892534,29.232814655409832,0.20832847883212793,1.2492846720296462,0.3189906016052832,0.6678846758749211
49,исходный,5,26.295074,37.51712,0.9998375773429871,0.06057769060314466,0.945162654235804,33.95373330280868,0.169362277610106,1.1347410256546047,-0.04203118947978745,0.42837294827430916
49,чужие хапаксы,5,26.341537,37.550976,0.9985692501068115,0.09496523319832374,1.018334211814617,32.261837163447915,0.1802111984601823,1.2006665940255206,0.12388333873591968,0.49685547548069237
49,перемешивание,4,26.325626,37.433937,0.9998139142990112,0.05689200685944781,0.9948852988158287,32.74014894969671,0.20135213784935013,1.2686456744520105,0.25203359472550796,0.5967919912436359
