согласие,текст,условие,токен,класс,k,logp,PMI,смещение,cos дом,до центра,черешок,лист,длинный лист
,0,исходный,Ġcomponents,смысл-редк,2,-2.1105058193206787,7.909947768551275,,,0.7369095029376792,0.7267441635833631,0,0
0.5997954607009888,0,исходный,k,подслово,5,-0.11212863028049469,8.137618897561238,0.4508630184815827,0.9052800536155701,0.6840147615132174,0.29561208414328,1,0
0.8264904618263245,0,исходный,(,пункт,3,-0.06531018763780594,7.677876115224392,0.35185546560164316,0.952104926109314,0.7255830873005846,0.7228802105368665,0,0
0.46308594942092896,0,исходный,Ġthat,служ,6,-0.14155073463916779,4.649132029219859,0.44522517061171407,0.9320430755615234,0.6837116987031074,0.7436538791886969,0,0
,0,исходный,Ġgeneral,смысл-част,1,-1.8979779481887817,6.646569119873595,0.4684799579650116,0.9016807675361633,0.6800269095835025,0.7184177213969013,1,0
,0,исходный,Ġbetween,служ,1,-3.5866541862487793,3.868850044161638,0.5382061373093823,0.8747219443321228,0.7262914523535405,0.730649178791348,1,0
0.7324963808059692,0,исходный,Ġa,служ,5,-0.10407097637653351,3.915741547702729,0.549653184053705,0.8842198848724365,0.6947566417566697,0.20067289972356958,1,0
0.38316160440444946,0,исходный,$,пункт,3,-0.07724592834711075,8.296955773968026,0.4473562916142428,0.9263493418693542,0.7898747267420273,0.4700863395830993,1,0
0.288282185792923,0,исходный,Ġthe,служ,4,-4.275862693786621,-1.0346205337833205,0.5556664619746201,0.9047932028770447,0.6811188153017219,0.7362090969695433,0,0
0.6663216352462769,0,исходный,:,пункт,2,-2.2628207206726074,3.663288304977246,0.4019333393032258,0.9442880153656006,0.7516428334819428,0.7776856121830317,0,0
,0,исходный,agreement,подслово,1,-3.6648008823394775,8.435094247212312,,,0.6018411025842524,0.831928213118337,0,0
0.8781570196151733,0,исходный,Ġd,служ,2,-0.1846413016319275,8.388893303303702,0.5422560754197585,0.8606031537055969,0.7266952695543466,0.48474096799932587,0,0
,0,исходный,Ġomn,смысл-редк,1,-1.8821966648101807,10.910845645301555,,,0.6834778616988499,0.8569587257201435,0,0
0.00019289925694465637,0,исходный,Ġadversary,смысл-редк,3,-0.8380813598632812,10.345523037814354,0.2245002736478715,0.9775362014770508,0.6780908145826927,0.7434087212175279,0,0
,0,исходный,Ġsome,служ,1,-3.4479124546051025,3.274392127504143,0.36707266282435497,0.941412627696991,0.5469796514461613,0.8112672908342089,0,0
0.7324021458625793,0,исходный,Ċ,пункт,16,-0.025911502540111542,4.378225636456918,0.43054250284780626,0.9358218312263489,0.6584055542399156,0.2583349854554244,1,0
0.4462840259075165,0,исходный,Ġlinks,смысл-редк,2,-3.1252498626708984,6.20205654464111,0.5256029282201208,0.873890221118927,0.7051268045541751,0.7149983091656905,0,0
,0,исходный,Ġonly,служ,1,-4.1685709953308105,2.7523535253055087,0.6715216168859011,0.8129155039787292,0.733953698108582,0.7533587587244719,1,0
0.3281601071357727,0,исходный,),пункт,3,-0.01993805356323719,5.685530550990525,0.4998134025729937,0.9111474752426147,0.9014310847672725,0.48805541127688534,1,0
