согласие,текст,условие,токен,класс,k,logp,PMI,смещение,cos дом,до центра,черешок,лист,длинный лист
-0.1442074179649353,0,исходный,Ġadversary,смысл-редк,3,-10.686452865600586,0.49715153207704965,0.25053287497425325,0.9726564884185791,0.6689147398191412,0.6366740613604511,0,0
,0,исходный,).,пункт,1,-0.24180680513381958,6.808232317168433,0.41082014501253644,0.9427040219306946,0.7551217729280392,0.7776856121830317,1,1
,0,исходный,Ġworks,смысл-част,1,-9.258454322814941,-0.3572323108138331,0.4275667927436763,0.9229114055633545,0.6809121088731904,0.797429595576752,0,0
,0,исходный,"$,",пункт,1,-0.8136619329452515,9.414431019704947,,,0.7565844251031797,0.8057753493763872,0,0
-0.24332314729690552,0,исходный,Ġadversary,смысл-редк,3,-10.395605087280273,0.7879993103973622,0.21585335934498032,0.9797114133834839,0.7258756405824134,0.3264666632285615,1,0
,0,исходный,Ġmeans,смысл-част,1,-2.014065742492676,6.087628685389916,0.6474569104509302,0.8293403387069702,0.6789303773881593,0.781207539708513,1,1
-0.435573548078537,0,исходный,SRC,подслово,2,-27.752674102783203,-16.75139126189952,0.1530247290599378,0.9895011782646179,0.8469835034222567,0.2635882812404489,1,0
0.8781570196151733,0,исходный,Ġd,служ,2,-0.6656739711761475,7.907860633759482,0.5346273002276127,0.8622407913208008,0.661643688407568,0.2659021347745603,1,0
0.7757824063301086,0,исходный,Ċ,пункт,16,-0.0328698493540287,4.371267289643001,0.4410503461774959,0.9282858967781067,0.6534791557410853,0.34246896705548485,0,0
0.5726845264434814,0,исходный,Ġin,служ,4,-5.089777946472168,-0.6904043414911722,0.45736656018511734,0.9157875776290894,0.5678692237661658,0.7913118495281422,0,0
0.8064006567001343,0,исходный,Ċ,пункт,16,-1.871123194694519,2.5330139443025104,0.4297204749618088,0.9353982210159302,0.6654946308846191,0.3380563325121622,0,0
0.7830283641815186,0,исходный,Ġunder,служ,2,-13.619989395141602,-5.709749007616237,0.5219266495337437,0.890789806842804,0.689161574520946,0.3291130161054214,1,0
,0,исходный,Ġagainst,служ,1,-8.025235176086426,-0.20892660839526478,0.5609789142867813,0.8684127330780029,0.7533458911165166,0.6880100977803687,1,0
