токен,класс,норма,лог_ранг,степень,черешок,отн_черешок,лист,длинный лист,hapax в тексте,один в выборке,текст
J,подслово,35.7333,7.348587530927593,1,7.360503728913973,0.3807104901731492,True,False,False,False,0
message,подслово,36.48552,7.564757012905729,2,25.740115983270137,1.3313670550304015,False,False,True,True,0
Ġto,служ,40.823048,1.3862943611198906,2,25.447056463656242,1.3162090118486782,False,False,False,False,0
d,подслово,35.702415,5.5909869805108565,1,13.10666630872681,0.6779217209455207,True,False,False,False,0
Ċ,пункт,39.6105,2.1972245773362196,3,8.774715060470921,0.4538583492157949,False,False,False,False,0
Ġsame,служ,37.303135,5.049856007249537,1,26.680820912616028,1.3800235394164795,True,True,True,True,0
Ċ,пункт,41.201347,2.1972245773362196,1,23.1198295582729,1.19583685682725,True,False,False,False,0
vers,подслово,36.513474,8.064007347096661,1,24.420750780478986,1.2631249629710135,True,False,False,True,0
",",пункт,40.886776,0.6931471805599453,1,8.820397515883238,0.4562212024433555,True,False,False,False,0
",",пункт,40.909664,0.6931471805599453,1,12.69716166846977,0.6567407368631392,True,False,False,False,0
k,подслово,35.596737,5.950642552587727,2,13.516675785398467,0.6991288168982233,False,False,False,False,0
Ċ,пункт,39.295635,2.1972245773362196,3,26.00658403946872,1.3451496965488532,False,False,False,False,0
aries,подслово,36.241783,8.387084506069217,1,15.54902256842951,0.8042487609219096,True,False,False,True,0
SRC,подслово,35.52424,8.707813551024888,2,25.894413759747323,1.3393478650780208,False,False,False,False,0
arant,подслово,37.939304,8.387312270561717,1,26.439910779166087,1.3675628412942684,True,True,True,True,0
Ġagreement,смысл-редк,35.191162,7.3098814858247865,6,29.260396539444717,1.513448035551279,False,False,False,False,0
ĠOur,служ,36.22758,6.984716320118266,1,9.444058631514318,0.48847909372070625,True,False,False,False,0
Ġsome,служ,36.345234,4.406719247264253,9,27.436610477558762,1.4191155671274083,False,False,False,True,0
Ġagreement,смысл-редк,34.992786,7.3098814858247865,3,21.229615794279933,1.0980685198865423,False,False,False,False,0
Ġcontains,смысл-редк,38.00548,8.064321960910803,1,25.156091751992534,1.3011593193167075,True,False,True,True,0
ĠV,смысл-част,35.915752,5.54907608489522,1,5.552548342451874,0.28719683856159983,True,False,False,False,0
Ċ,пункт,39.96543,2.1972245773362196,1,7.699919979987941,0.3982662624515458,True,False,False,False,0
Ġthat,служ,40.823803,2.3978952727983707,1,24.001713982743127,1.2414509430204599,True,False,False,False,0
Ċ,пункт,39.732174,2.1972245773362196,1,8.626763802904005,0.4462058028868298,True,False,False,False,0
Ġmessage,смысл-редк,35.830013,7.563719668414366,1,11.31849335953874,0.5854312848187798,True,False,False,False,0
agreement,подслово,35.423355,9.410992885454862,6,26.851601925632888,1.388856918974798,False,False,False,True,0
Ġnetworks,смысл-редк,33.817265,7.222566018822171,4,33.461466142537205,1.7307417598329518,False,False,False,True,0
d,подслово,36.376213,5.5909869805108565,3,19.711590914953177,1.0195510682027298,False,False,False,False,0
",",сток,26.64819,0.6931471805599453,1,4.899739704144699,0.2534313374719263,True,False,False,False,0
ĠV,смысл-част,35.676678,5.54907608489522,4,16.635618171314615,0.8604512111658161,False,False,False,False,0
Ġthat,служ,39.6085,2.3978952727983707,2,25.406134733745013,1.3140923996673626,False,False,False,False,0
ient,подслово,39.06056,7.6638772587034705,2,25.105617083276474,1.2985485963857846,False,False,True,True,0
Ġthat,служ,39.6085,2.3978952727983707,2,17.80398456658614,0.9005984210459345,False,False,False,False,0
Ġand,служ,40.958168,1.791759469228055,1,26.424839083579336,1.336676532495314,True,True,True,True,0
Ġat,служ,38.4532,3.4339872044851463,1,25.924282272299635,1.311356319921757,True,True,False,True,0
Ġshow,смысл-част,36.924576,5.53338948872752,1,19.92001858109194,1.0076360836105245,True,False,False,True,0
Ġdeal,смысл-част,37.775593,6.3578422665081,1,28.949560642338575,1.4643872840349728,True,True,True,True,0
Ġhope,смысл-редк,37.24064,7.036148493750536,3,26.31379598234455,1.33105951787333,False,False,True,True,0
Ġ(,пункт,39.73221,2.995732273553991,2,18.071812595974954,0.9141462591423624,False,False,False,False,0
Ġcomponents,смысл-редк,35.408813,7.866338923046544,3,25.543906049802885,1.2921153334952182,False,False,False,False,0
(,пункт,38.0189,5.365976015021851,1,7.429979564718828,0.3758387814460118,True,False,False,False,0
Ġ$,пункт,37.654095,5.480638923341991,4,27.454821505620988,1.3887772596963848,False,False,False,False,0
Ċ,пункт,39.510033,2.1972245773362196,2,7.410374563823602,0.374847080246496,False,False,False,False,0
Ġa,служ,38.42054,1.9459101490553132,4,24.353476942456194,1.231898556153385,False,False,False,False,0
.,пункт,41.379505,1.0986122886681098,1,24.756767194856163,1.252298628012371,True,False,False,True,0
for,подслово,39.39378,7.224753405767971,1,24.21509102317239,1.2248984298650327,True,False,True,True,0
Ġhand,смысл-част,39.847015,5.799092654460526,1,30.002467243916456,1.5176476100784762,True,True,True,True,0
Ġmessage,смысл-редк,35.976498,7.563719668414366,1,14.144936441507436,0.7155087883486827,True,False,False,False,0
ibility,подслово,37.297462,9.008713664124222,4,26.31258858182103,1.3309984426122845,False,False,False,True,0
Ċ,пункт,38.62016,2.1972245773362196,1,11.436309655867195,0.5784953576064165,True,False,False,False,0
ĠH,смысл-част,35.874245,5.765191102784844,2,24.93839006765493,1.2614858564025468,False,False,True,True,0
