mode,q,d_hat,набор,текст,условие
q_large,0.05,6.841758047590092,механические,0,хапаксы одного домена
q_large,0.1,6.578891903747452,механические,0,хапаксы одного домена
q_large,0.15,6.313179637091681,механические,0,хапаксы одного домена
q_large,0.2,6.035646763179784,механические,0,хапаксы одного домена
q_large,0.25,5.745469880682789,механические,0,хапаксы одного домена
q_large,0.3,5.448257842148546,механические,0,хапаксы одного домена
q_large,0.35,5.14601592866417,механические,0,хапаксы одного домена
q_large,0.4,4.842071461294752,механические,0,хапаксы одного домена
q_large,0.45,4.530621013343224,механические,0,хапаксы одного домена
q_large,0.5,4.206634045560859,механические,0,хапаксы одного домена
q_large,0.55,3.8699978148225638,механические,0,хапаксы одного домена
q_large,0.6,3.549377753281644,механические,0,хапаксы одного домена
q_large,0.65,3.308777432418619,механические,0,хапаксы одного домена
q_large,0.7,3.205009813040885,механические,0,хапаксы одного домена
q_large,0.75,3.223884412697208,механические,0,хапаксы одного домена
q_large,0.8,3.3631988443641285,механические,0,хапаксы одного домена
q_large,0.85,3.5917530393757513,механические,0,хапаксы одного домена
q_large,0.9,3.7786410646180304,механические,0,хапаксы одного домена
q_small,0.0,7.1152762933329115,механические,0,хапаксы одного домена
q_small,0.05,7.231827578426698,механические,0,хапаксы одного домена
q_small,0.1,7.4354716205382525,механические,0,хапаксы одного домена
q_small,0.15,7.762508023223651,механические,0,хапаксы одного домена
q_small,0.2,8.316110088196469,механические,0,хапаксы одного домена
q_small,0.25,9.120727387691897,механические,0,хапаксы одного домена
q_small,0.3,10.143542533015609,механические,0,хапаксы одного домена
q_small,0.35,11.249123398575263,механические,0,хапаксы одного домена
q_small,0.4,12.110980949661924,механические,0,хапаксы одного домена
q_small,0.45,12.652076355292252,механические,0,хапаксы одного домена
q_small,0.5,13.03794406701554,механические,0,хапаксы одного домена
q_small,0.55,13.40947103614213,механические,0,хапаксы одного домена
q_small,0.6,13.774275618299484,механические,0,хапаксы одного домена
