n,rep,"одиночек, %","длинных с одиночкой, %",средняя длина,S(q=0.5),S(q=0.7),S(q=0.9),текст
101,3,43.56435643564357,90.0,22.194862481294063,1361.9786499670759,852.6253837968468,301.780036359548,9
121,3,47.107438016528924,79.16666666666666,22.220312188799426,1606.6417861975028,1007.677349215478,358.5825111447033,9
161,3,36.024844720496894,71.875,20.059039668330854,2042.5930647567045,1290.115075984248,467.0454609764612,9
201,3,34.32835820895522,90.0,18.68538107810511,2481.80032168089,1581.0974054730593,569.8364142188163,9
41,4,53.65853658536586,75.0,24.402311550442505,556.468813750894,343.32435205244656,120.92985559217115,9
61,4,63.934426229508205,100.0,24.106506575429126,865.708099348302,541.9546352077707,192.82173667698714,9
81,4,45.67901234567901,93.75,21.659904313182302,1082.0640022361486,680.6268316826825,245.1268407040074,9
101,4,37.62376237623762,95.0,21.82654561306561,1372.6836870765387,861.2990600802185,306.20619814354717,9
121,4,47.107438016528924,95.83333333333334,21.610031291017027,1640.134483962247,1029.881529036014,369.66358213227926,9
161,4,36.64596273291926,81.25,20.519569749815638,2095.137260953078,1318.608287857498,476.1909888778389,9
201,4,31.343283582089555,85.0,19.043036378956756,2508.784297876834,1599.9608720737638,579.5452318998468,9
41,5,63.41463414634146,100.0,25.241642973812567,571.840540141832,358.69120104975786,130.57627220573505,9
61,5,63.934426229508205,83.33333333333334,23.397671595022548,838.745206747772,530.6121202630011,192.0236666518612,9
81,5,43.20987654320987,93.75,22.69645549253545,1142.5794008127282,710.6218454630806,251.67686804392872,9
101,5,44.554455445544555,85.0,21.12370243966776,1323.4762593099908,830.6649617305367,307.21545625130625,9
121,5,32.231404958677686,79.16666666666666,20.27413622307747,1546.8363826163397,983.7224926580233,364.79101414585995,9
161,5,35.40372670807454,90.625,19.987338110014015,2061.573348597195,1304.5699260082458,470.43071856947967,9
201,5,30.845771144278604,85.0,18.92429969790471,2517.7244979161496,1606.9179960669906,585.663300982141,9
41,6,53.65853658536586,100.0,23.789718173143967,576.0700253788689,367.2990451049036,133.3860385355486,9
61,6,47.540983606557376,91.66666666666666,23.091468177776562,816.8794677662651,512.8082666249595,186.4894644334588,9
