текст,зерно,исходный: крупный,исходный: мелкий,исходный: средний,маркер: крупный,маркер: мелкий,маркер: средний,маркер без маркера: крупный,маркер без маркера: мелкий,маркер без маркера: средний
6,1,19.315961104167044,4.184596656466381,15.575088724003995,16.957229564266598,6.654681273566887,13.967604494447679,18.115188951692907,4.143037608548928,16.90675065021722
6,2,16.076000313522744,4.106483661000741,14.441903476818378,16.62978749881107,5.503599109447011,13.512328385814154,17.90936656338413,4.33017334182967,15.917891617830938
7,0,16.874592849523633,3.893009710973029,15.582969097518188,19.73324056446793,6.074375349850596,12.665477283144536,17.859746470560612,3.6052968417561932,14.795253056804876
7,1,17.872653233789777,3.854703525396215,16.375968904099796,20.19488581465449,5.706121602865893,12.601835065530633,18.56933913112381,3.5747137560211217,15.12491927571889
7,2,17.465276259030677,4.170324699586841,16.30320674928314,18.683147054940733,5.782411755096118,12.452660321725006,19.042092955743655,3.333732819295455,15.402156167826096
8,0,13.659146346325505,2.8939450119209575,11.9040957221863,14.930086449889396,6.122718717914608,11.255345038998575,13.673635109657686,3.536060435381799,12.276146864656706
8,1,14.833306400539897,2.847056530979195,12.336554762315373,15.091159140533819,6.3848911969056426,11.478792415651503,13.638560596515854,3.9079999704375363,12.187495835096403
8,2,16.932242517864793,2.8703738254686613,13.83896751222214,14.781743812565967,6.048372831815734,11.180684076688788,13.596441697574114,3.694224412880466,12.356138067356591
9,0,16.53929169300141,4.093548110448947,10.83653022097379,13.361034211730919,5.406018543277446,7.750545544854252,14.18493224437858,3.9847911994323235,9.208149871913086
9,1,16.467773759614076,3.458287201086024,10.733422274858256,14.090103183468734,5.503726938521465,8.094932963198783,13.294786310782818,4.642059003812521,8.928621030585955
9,2,17.093332845020296,3.8938629573500685,10.563971402604675,14.284391429681559,5.7326851556121055,8.1392431062574,15.02849621831414,4.162740212431599,9.468485916763804
10,0,15.267407533514156,3.567348761864629,13.984311469936813,16.431453201584336,6.815303174209488,11.857230144913185,17.39817286398159,3.9353054243947834,15.164974535062498
10,1,14.577299311904786,3.8982422885095325,13.47930073552603,17.383391769479765,6.434865861221851,12.761256754104217,18.008171222316044,4.257304899328401,15.506568785723635
10,2,15.19976543516544,3.4085815639743013,13.715019215119899,16.754903506200947,7.00553539475744,12.301460800077793,17.57803646076853,3.88708410450771,15.221041423607938
11,0,17.76700310525924,3.429017662365471,13.103533598381393,18.422779781033505,5.438649933060974,11.014275965658365,18.350726466232185,3.5925147375461886,13.120054680840255
11,1,19.0209753592438,3.4980494177363792,13.320003843607083,18.228012294387025,5.660300780395837,10.420480851489874,20.04911675714205,3.8428419972832972,13.669630436328003
11,2,18.062620800604684,3.287796574254098,13.48602335264432,18.606060616650044,7.207135768841785,10.194332002018127,18.653020250270362,3.4586056637980582,12.807084639875796
12,0,17.725393736743975,3.6340289716625653,12.059992534372135,18.202957837884387,6.1379638019026865,10.825160287046092,17.674448497399077,4.028843089910159,13.431690649127418
12,1,17.15063360337603,3.6846590634935477,11.59017348448904,18.376347543250425,7.092900502034202,10.532025361028184,17.52757233053334,4.383695277318162,13.52611000161095
12,2,18.496679838824925,3.64645344533282,11.726558775426446,17.711400740388896,6.7720467269351365,10.737941995438591,16.997468592995503,4.633230129291207,13.400619230764363
13,0,15.113459787203592,3.339200736151536,13.164339933178496,14.662952856471215,5.14541902014562,10.894337167673951,13.91223638149709,3.295777410908434,12.615217198151457
13,1,14.95815707815161,3.2952339425302175,13.475885813667839,15.354868945657229,4.84828902896316,11.265981659135054,14.903035025028995,4.233165780554819,12.56544505939951
13,2,15.427307860788188,3.394121500046667,13.682016745596126,15.42199962896763,5.263201984041151,12.011774359626639,14.517231096345471,3.957217370191063,13.88785303478321
14,0,19.540915762616535,3.505080792974815,17.57559446116084,18.273894010285822,5.920911337058847,12.6317248979844,16.902485400837318,4.273154388002117,15.307879280331417
14,1,18.62475856521749,3.5065352854653047,15.364124084175051,18.70126565409398,6.917240648627853,12.446818577427523,17.405477298921717,4.513601556939438,15.358516159264804
14,2,18.180943843465172,3.6241721514782,17.155501992393408,18.433853028159724,5.604911344228953,12.874083662156385,18.410503086112968,4.599566675434524,17.339059462248326
