mode,q,mean_d,cv_within,cv_between,rel_resid,rel_dse,variant
q_large,0.9,3.3437056320631364,0.24172377931806424,0.17082174498888655,0.04246383665938067,0.14015115525283223,grid_more_large
q_small,0.0,9.033037613261373,0.0982589381676525,0.12053312788746937,0.004629097834447523,0.0580191134804123,grid_more_large
q_small,0.3,14.40080513254946,0.11409240124392145,0.15638180611531569,0.003541046238513894,0.07198726787011338,grid_more_large
q_small,0.5,19.053970567817387,0.12252989003364023,0.15623174795045336,0.0021447648960624495,0.06034178036033443,grid_more_large
q_small,0.6,20.03715364965713,0.13813446339954097,0.1747834811740237,0.0021171674303843467,0.06272572019592579,grid_more_large
q_small,0.9,21.69020003640697,0.24440451358505708,0.2812391027462388,0.0031863421550744468,0.10438651869373668,grid_more_large
q0.5_range,0.0,5.042791626816858,0.10845287065818462,0.14309871472744864,0.015607375436939797,0.07553415878171355,grid_log8
q0.5_range,0.3,12.531632815714655,0.11754378218823297,0.16383490088402752,0.005313793193742886,0.07299254176689361,grid_log8
q0.5_range,0.5,18.691774786667132,0.09552048185578532,0.15410881005712787,0.0030690678047162923,0.0673833422663343,grid_log8
q_large,0.0,8.967691906500699,0.08787112586136821,0.12277607775765996,0.0064605867769392524,0.06296160565188634,grid_log8
q_large,0.3,6.751957891906873,0.09865873844972303,0.13257508718064523,0.009981684817697753,0.06970290245989018,grid_log8
q_large,0.5,5.042791626816858,0.10845287065818462,0.14309871472744864,0.015607375436939797,0.07553415878171355,grid_log8
q_large,0.6,4.195439153487626,0.110620945605852,0.1460369876041672,0.02103421332949341,0.07969110407210016,grid_log8
q_large,0.9,3.3941504897514068,0.20767889656057056,0.18090783779150663,0.05943955218608796,0.15576773586670373,grid_log8
q_small,0.0,8.967691906500699,0.08787112586136821,0.12277607775765996,0.0064605867769392524,0.06296160565188634,grid_log8
q_small,0.3,14.160881790301932,0.10323742113137002,0.1537600132639571,0.0042043846535697845,0.06723320217537261,grid_log8
q_small,0.5,18.691774786667132,0.09552048185578532,0.15410881005712787,0.0030690678047162923,0.0673833422663343,grid_log8
q_small,0.6,19.619187033652107,0.10531961182970735,0.17149052579675408,0.003144388299232969,0.07238027425003708,grid_log8
q_small,0.9,20.95308047396964,0.1944981468992675,0.28814792970391945,0.004704847369322491,0.11464671266236211,grid_log8
q0.5_range,0.0,5.7035179531672835,0.10400247847561073,0.133971497974607,0.013007142607928528,0.09612093200783033,grid_wide
q0.5_range,0.3,14.827482668868472,0.11422692748238034,0.16139005667397702,0.005567484360388729,0.12132198053302615,grid_wide
q0.5_range,0.5,21.177252444180997,0.11095433001553782,0.16963781590538446,0.002974591606950613,0.09990716384289389,grid_wide
