текст,seed,сырой: крупный,сырой: мелкий,сырой: средний,нормированный: крупный,нормированный: мелкий,нормированный: средний,без стоков: крупный,без стоков: мелкий,без стоков: средний,без стоков + норм.: крупный,без стоков + норм.: мелкий,без стоков + норм.: средний
13,3,16.948015569972828,3.079139311346234,13.998487511280373,17.284852568090347,2.9655302842692977,15.062822938026036,16.90880277345379,3.9111744930657535,15.290844642230468,20.931907920741992,3.6797937256913094,17.332922125949366
13,4,16.8224589201534,3.5489147048833787,15.060052079832923,19.062553694750665,3.441625037731026,16.51357635050102,16.9510351635452,3.9677064785082083,14.957475690962701,21.95530011195619,3.7690171317969923,16.68034771216852
13,5,17.318784720849717,3.2785575451191242,14.178289597541156,18.09562308538995,3.1964710029078547,15.347636508761209,16.908669242708484,3.790345713739803,14.147928246495416,21.595571929257762,3.6096454885519735,15.924484486877
14,0,18.256739390809958,3.853509686631161,16.748199931860633,16.690378729584317,3.761371952039294,17.622065815524962,20.98583557553749,3.986558554093349,16.443821623758055,24.116063794392335,3.8000055416739396,17.587364575969012
14,1,18.799789705043313,3.4828815881594273,16.501364860157313,17.72778728434126,3.3919020332120082,17.220386773686506,19.569217016182417,4.351880518757732,17.14751686503508,21.918971452628416,4.247536689062729,18.688504456336997
14,2,17.578200684494327,3.4795671662095438,16.033513229405322,17.131257355195018,3.4002647328446107,17.301665205974096,22.395820958257374,4.229462370228913,16.851498533476665,24.7371487215692,4.022220476862905,18.19758760610955
14,3,18.704831787034937,3.64497803391867,16.274328686096634,18.78320566233465,3.5657071726071004,17.734059048422324,19.495614033652267,4.159868990737764,16.396685699228215,21.731032234843546,4.003519102472778,17.717117866204678
14,4,18.598823787089742,4.195457876187126,15.979757890821626,18.22615188529541,4.098087746188845,17.133623342265274,20.363358072149893,4.2185699223288555,16.803535402835628,22.22659588578593,4.051002240583726,18.311127975287047
14,5,18.332734437009297,3.7713974092824145,16.642579258454003,17.875500479855155,3.66167420474128,17.554817707091985,22.333932770430224,4.531994468024649,17.53401326629001,25.73004406987546,4.350872638840959,18.870729000657143
15,0,19.98908155391334,3.5158341958072996,17.025710637398763,19.543825012863763,3.463110839077726,17.776798682997903,21.987543775276148,3.660546287165689,17.94932578876257,23.960712312809942,3.617809274895825,18.475687434623296
15,1,18.79629547696395,3.377758414473877,16.814375247060344,18.174302048677497,3.365223527361366,17.165988402890598,20.845771740035,4.165244798253815,16.43773244079229,23.328392968135788,4.103185219037576,17.333548551833726
15,2,17.483241283363785,3.1351223087260203,15.673851672244387,17.00328825651438,3.0833838566635943,16.210123296242525,21.578088476006762,3.616864778259005,16.801989542334454,23.343285418422706,3.5718686734689404,17.644176674991417
15,3,17.73282982106538,3.2373795079763217,15.999743316486763,16.761601166036467,3.2240948099825557,16.590885470245166,21.727599499007443,3.6019167295650902,16.91084451363478,23.32987019221295,3.5719041494183226,18.07224857059836
15,4,18.224289609929983,3.4645718233727663,16.2582545881736,17.192599886392728,3.4331631268691356,16.68799121656351,22.794445235146796,3.667736852349466,17.517600983713685,24.279607781088245,3.5933984188597825,18.193137556879808
15,5,18.05472778837151,3.5109108950301993,16.194456703637453,16.51777074599744,3.450483155823833,16.42055301248607,22.68316899210603,3.7755411900223375,17.423486055806592,25.0963869104197,3.7228210296452495,18.332324118270503
16,0,18.475832084705136,4.096314014515441,17.290949226679622,17.85860327993385,3.9555298043295246,18.298852890338868,20.50092804384586,4.55719940656301,17.97597966544768,24.24641032671062,4.293838925645668,19.311113919979046
16,1,17.086518983853527,4.423356814659313,16.907276420402635,17.675568932704874,4.221813869060376,18.087273009673616,20.872070683768385,4.532309670750636,18.133736737857575,25.341025887911762,4.239387556198333,19.547821373245036
16,2,17.41216154919449,4.717778033097825,17.296510496093937,17.347147005364622,4.48719596806393,18.69961405478158,19.619710713769955,4.407162441529031,16.76101325471455,23.078993876867376,4.177799846950803,18.009861261343655
16,3,16.341404279239395,4.306351749047279,15.679778767491666,15.646162206734065,4.088222283399179,16.59211447119856,19.49688642463707,4.918702964385339,16.902231003864774,23.220911929848786,4.650960678964672,18.241226517139282
16,4,16.836215074893712,3.867994749080406,16.59798392059881,16.798665751282844,3.7069813968324588,17.895237089410152,21.304436258215198,5.01819391723945,17.99183790301229,27.429455001472487,4.694723503043335,20.049814628082004
16,5,16.8179231260831,3.7954764619706505,16.73351286594412,16.42578487064644,3.6460504829062943,17.738976071593356,21.914063285582632,4.983888588175992,18.716960653671592,26.02340301898993,4.773634849416671,20.38804085376011
17,0,18.155158758632144,3.7822880314558978,14.765071014630502,18.810998583583952,3.745099611343356,15.801409053784317,21.553361238436416,3.9686712565616737,15.038214710545606,23.803368381720787,3.933148836097801,15.946461840267073
17,1,19.00024037668867,3.4272661635050086,14.471726665686353,18.45431354877103,3.3902288442206685,15.263743198877947,19.5907796130185,3.7299851464019325,14.523019914759868,21.93060933845517,3.701262103811316,15.409329721690522
17,2,17.488521174506385,3.4224002133340723,14.070906830989333,17.803682437466264,3.4031956943573447,14.757856024572657,21.1404082598797,3.7686935608539613,15.046370907760007,23.407357615776917,3.722519663809428,15.917097042280385
17,3,19.13032824927733,3.2399643827109594,14.795580916561818,20.04658945365711,3.198451997785818,15.880446117540448,20.31841918542775,3.7044231795307345,15.279910584638875,22.527389050567432,3.6441909116746993,16.388505359233612
17,4,17.526162444563557,3.368222493788107,13.958775731117367,16.796411758570155,3.362734321107054,14.757991491906704,20.341247996445983,3.823209245592111,15.491869719823091,23.902199801557245,3.7891466025619893,16.700225000794916
17,5,18.163709478252898,3.350014177621065,14.213698728526737,17.824293899533764,3.300373911540341,14.959957730942715,20.433072817143525,3.6454497335187233,15.28998041026129,22.738553268725614,3.581873506954735,16.0811167837177
18,0,16.57801137185463,3.7138095192764404,14.081534028936176,14.962534457657252,3.624700708128881,14.342183995899044,18.761947883451153,3.8706515676463797,14.402424352229279,19.32650538298316,3.740657614160983,14.949697460134876
18,1,16.704724683651285,3.389377352082771,14.300915967255055,15.407661982519183,3.3329621494074537,14.756673268057014,18.10256022449682,4.00957107003411,14.001143742793662,18.9564741921881,3.9245274153911702,14.717175714160962
18,2,17.220756362934946,3.4661152015268613,14.246832907415168,15.773016532346098,3.4215854704636266,14.62247820769735,18.578027735684486,4.070537302270859,14.664408900614996,20.09948650277343,3.9893564788403504,15.44450154826348
18,3,16.27385024714953,3.461367635506285,13.954770686001083,15.108005283662436,3.4567004800389234,14.403216474383475,18.734471877527227,3.77106744664993,14.516872318125172,20.57140520366475,3.6250322812435805,15.238220476626475
18,4,15.536776730946306,3.373782605480311,13.409973454858672,14.278037634238823,3.3396495747075443,13.800221930428815,17.945688616066448,4.1579136785885344,14.091016507075205,18.90246531290445,4.063821891931796,14.524578840206908
18,5,17.52702162412895,3.4535686143702753,14.593912278246723,16.305513561413505,3.4048180365744294,15.097826349691989,18.03391426407835,4.2238892447521135,14.587010067116854,19.470656865492995,4.1416394471803875,15.273421076907818
19,0,15.161943783745825,3.979412900435379,12.1077635096449,14.238047821701533,4.081107365703791,12.165561555510001,16.113540816945704,4.749541809932921,12.746933165672216,16.600864622824574,4.806591401095532,12.605053778363832
19,1,14.482017508251536,3.6465106109076437,11.63133772385107,13.694024714612736,3.7298653866358604,11.583429296012687,16.470108582430107,4.144174957821681,12.486513071930792,16.91751531546599,4.127418100625513,12.669958615389945
19,2,14.301354620423673,3.635569366748109,11.673624662836703,13.390991529428529,3.6314833699756486,11.702121690796428,15.64809257874484,4.816140283156762,11.881666296349,15.714009404292764,4.901161413578167,11.85082761250232
19,3,14.465055542600245,3.908745045858337,11.813649191994239,13.383057195086604,3.93558833828824,11.717048033496631,16.349850590196823,4.319260357827212,12.432810557341146,16.592949518321184,4.366795158297,12.604342102705017
19,4,14.505659947488084,4.013761044619152,12.265982670251669,13.18547908135648,4.09778883918757,12.170898490032364,16.828284117521708,4.335392085686166,12.573632213909303,17.463486829717286,4.331955904422785,12.491939705795138
19,5,14.48690349812937,4.144147535170053,11.760548973079556,13.693623668422266,4.24763188211939,11.751393943226322,16.347656719019884,4.364365849445119,12.271735266220075,16.934492236474213,4.412117505544255,12.34849263737146
20,0,16.60856621183677,4.2723347540314345,10.929113477748313,15.414488304406708,4.206468090998054,11.616917222671342,18.470722014488853,4.8028911270178325,11.225938696962753,19.22161228103168,4.702529024360998,12.006273023434
20,1,16.9890831478401,4.229457845762949,10.954375100683912,15.496024117658553,4.1519194886059045,11.46730604225825,18.22126061485812,4.605491340958992,10.929348157043867,18.845358725191574,4.501950534073276,11.753645519337212
