набор,текст,условие,d(x) среднее,d(x) разброс,"d(x) разброс, одиночки","d(x) разброс, повторные",d(x) одиночки,d(x) повторные,центров
механические,7,20 чужих хапаксов,10.335273169773762,3.1442851700022785,3.309000191835231,2.383785414894456,10.438539785837337,10.006967437082828,129.66666666666666
механические,7,маркер каждые 3,10.460022348381601,3.2701826811950903,3.2953180456620434,3.092406979272473,10.589473776802448,9.97210006957089,109.33333333333333
механические,7,без пунктуации,11.551571089128323,2.707632899325868,2.667751697266771,2.5245493341545338,11.884087805528127,10.565717643718676,132.66666666666666
механические,7,без служебных,9.596731904491412,3.2947406794716088,3.231755880864005,3.3645739016304534,9.818521575248278,8.81234827022855,145.33333333333334
механические,8,исходный,9.494760251947712,3.0098263797942626,3.135490237254341,2.724072574191169,9.461836131549463,9.568486513115383,129.66666666666666
механические,8,перемешивание,10.657818442683615,2.6484070928416474,2.6679532110861626,2.416352708862147,10.975697955857862,9.947803466424865,127.33333333333333
механические,8,эхо x2,10.817356455038814,2.4805694504259272,2.157081387170899,2.5785328633805547,11.452187098818753,10.255027413684479,104.0
механические,8,эхо x4,10.203874023960923,2.287991444673482,1.9749982475491528,2.345896290980622,10.67019431389002,10.069795918838675,76.33333333333333
механические,8,эхо на четверти,9.997015116622476,2.576095668030428,2.5843848250462855,2.5017197288275206,10.021373038999245,9.92970219357091,112.66666666666667
механические,8,словарь к 25,8.509668626021977,2.153954112401904,1.8393138595862393,2.30951914965683,8.876030468986501,8.239104680505037,74.0
механические,8,словарь к 60,9.069231682851765,2.8086699937290756,2.745099954383503,2.815029881904423,9.40402323541563,8.69388743632532,99.66666666666667
механические,8,все слова разные,10.293878936938851,3.636945436326815,3.695187711290533,2.958044839338408,10.142051229013084,11.265149027129176,164.33333333333334
механические,8,чужие хапаксы,9.49042485682275,3.3423975688842873,3.415325855364942,2.751196043456479,9.01771298298346,10.745516487083231,135.66666666666666
механические,8,хапаксы одного домена,10.010679118612442,2.8944903444056607,3.0875772053953994,2.3231914773732085,9.841960588883136,10.371439618565892,132.66666666666666
