текст,условие,S,C
29,исходный,-0.021486696824356482,3.6770187062594153
29,чужие хапаксы,0.06149795606692935,9.369748423414723
29,хапаксы одного домена,0.08102057140102074,9.041231893828007
29,перемешивание,0.046125634378049285,5.026455915981109
29,эхо x4,0.02497139897488983,0.48301913525929124
29,все слова разные,0.10548802821940524,10.253151549335373
30,исходный,0.07052179882257108,7.500199038195885
30,чужие хапаксы,0.09043018735815338,11.646657460375067
30,хапаксы одного домена,0.1585235516514539,10.897033511932413
30,перемешивание,0.11715213771580375,4.500140662066673
30,эхо x4,0.07172736897101696,0.262969594209004
30,все слова разные,0.1561923003917103,13.623041352178367
31,исходный,0.06173301841531572,1.2755885997517402
31,чужие хапаксы,0.09708467351232486,4.126696718810415
31,хапаксы одного домена,0.06381687445262685,5.3150506294883675
31,перемешивание,-0.02904254899886542,4.793508699794249
31,эхо x4,0.1030446698168217,0.26217060739882697
31,все слова разные,0.07641928882661812,6.478871183768987
32,исходный,0.08971195158686414,4.424337176724048
32,чужие хапаксы,0.14018386897470617,7.901634514457307
32,хапаксы одного домена,0.1421267856118811,7.592551322693797
32,перемешивание,0.11629637970620055,4.2957229656872
32,эхо x4,0.06575143601297002,0.968802748280284
32,все слова разные,0.0764292960504263,10.444691790917192
33,исходный,0.04369460415004256,9.887370765218364
33,чужие хапаксы,0.19929070334424878,11.67057052137338
33,хапаксы одного домена,0.17776525117895328,11.875353893899536
33,перемешивание,0.03878807915505156,5.77960197420524
33,эхо x4,-0.002055648141381409,0.07157230486764954
33,все слова разные,0.12663537018766724,13.362261464901499
34,исходный,0.04257613745945473,5.44797749204994
34,чужие хапаксы,0.12757846860629807,6.433893686519613
34,хапаксы одного домена,0.09708338609707363,7.645175376302627
34,перемешивание,-0.046358168744341545,2.1236740672529537
34,эхо x4,0.08988058651403452,0.9489403822267145
34,все слова разные,0.02014698972709535,8.695436794233428
35,исходный,0.029674797095818994,3.7353550797021753
35,чужие хапаксы,0.06974995531333554,4.439778515523959
35,хапаксы одного домена,0.09199228255307157,4.19196804948677
35,перемешивание,-0.08740853277389404,3.3050064912432333
35,эхо x4,0.04220188644268752,0.060414755813359776
35,все слова разные,0.06619908499103133,6.253688336400987
36,исходный,-0.015682461059546033,2.548432514896278
36,чужие хапаксы,0.1378120528754777,6.374717405446339
36,хапаксы одного домена,0.07530299240131588,6.146827179203832
36,перемешивание,0.034809466393468415,2.9063245487275347
36,эхо x4,0.04346076458752509,0.00950139797063893
36,все слова разные,0.11918227048564478,6.652677973469619
37,исходный,0.06446538821937331,6.36797665321541
37,чужие хапаксы,0.09108781531722017,7.903938085091659
37,хапаксы одного домена,0.09421650711373346,8.387788860102008
37,перемешивание,0.08202922822879914,1.6887302836247375
37,эхо x4,0.1316546699023251,0.6080683972147601
37,все слова разные,0.12619383989577118,8.626044279109351
38,исходный,0.06937854672454624,5.8691614191719355
38,чужие хапаксы,0.06289512663827672,8.65669711116283
38,хапаксы одного домена,0.08346218786101482,8.633117428398707
38,перемешивание,0.0009084492170667499,4.628813564164901
38,эхо x4,0.03147926516347577,1.0090907911735603
38,все слова разные,0.11433378111049448,6.043297537455186
39,исходный,0.02164550837667763,5.864502686259242
39,чужие хапаксы,0.06179023773313056,9.912860476141963
39,хапаксы одного домена,0.14849229870842884,7.413778800395043
39,перемешивание,0.019504914939121615,3.103304047559369
39,эхо x4,0.011239445612938659,0.022120904444151632
39,все слова разные,0.082698401423786,10.213685956364028
40,исходный,0.04679779819190688,3.335175960183132
