набор,текст,условие,крупный,мелкий,средний,типов
механические,6,все слова разные,33.6184421284529,30.26536816056479,38.754782182566224,144.33333333333334
механические,6,чужие хапаксы,31.050984867137924,25.664248356800726,37.59387235845066,133.0
механические,6,хапаксы одного домена,29.284910103403305,29.250527086855925,33.28744584104141,135.33333333333334
механические,6,20 чужих хапаксов,32.58526339629925,22.046359314361165,33.17581085414677,129.33333333333334
механические,6,маркер каждые 3,56.34869947967339,28.089797585044554,46.55697587134089,106.66666666666667
механические,6,без пунктуации,38.49282896049403,24.65612455047014,32.21161820675156,135.33333333333334
механические,6,без служебных,32.978323434292584,19.459578396570556,32.539144506629945,145.66666666666666
механические,7,исходный,34.17929654486879,22.93657794610402,31.427321957387232,131.66666666666666
механические,7,перемешивание,40.502340027163406,19.4861379366332,32.982098563912324,130.66666666666666
механические,7,эхо на четверти,37.44505724301123,25.060423396964946,32.37603454981252,109.66666666666667
механические,7,все слова разные,29.11467060787651,24.40119260656778,28.044159853653706,153.33333333333334
механические,7,чужие хапаксы,35.482825249686066,28.159914536539976,34.34207161529962,134.0
механические,7,хапаксы одного домена,35.65600510400654,22.663865115248328,33.52978493680671,133.66666666666666
механические,7,20 чужих хапаксов,54.917239785697156,24.584142256897493,39.59947422573091,129.66666666666666
механические,7,маркер каждые 3,74.0719335328898,20.730414515487876,39.30812782995768,109.33333333333333
механические,7,без пунктуации,46.37691889151674,24.712632195488883,37.14185702984424,132.66666666666666
механические,7,без служебных,30.291209470187454,23.785053615622825,28.015480573830022,145.33333333333334
механические,8,исходный,33.16566175274969,18.421235536425392,26.0634653908787,129.66666666666666
механические,8,перемешивание,35.988312453397945,26.093914161036178,29.11641141375742,127.33333333333333
механические,8,эхо x2,45.85882401374881,20.13971474447688,29.935352381740888,104.0
механические,8,эхо на четверти,39.75984806102914,20.190838845481267,24.853693869363735,112.66666666666667
механические,8,словарь к 60,34.14681363278857,20.715746738619636,26.473303103001523,102.5
механические,8,все слова разные,27.66199364979558,26.104006317318078,31.250881131295042,164.33333333333334
механические,8,чужие хапаксы,31.815306853760756,27.015743997679028,27.791120858420044,135.66666666666666
механические,8,хапаксы одного домена,33.63488639814841,21.801902532773322,25.983995987125127,132.66666666666666
механические,8,20 чужих хапаксов,44.31167665082347,19.884341685035636,24.265844764774997,130.33333333333334
механические,8,маркер каждые 3,53.96459073391812,21.697168352351003,34.2703563938028,112.0
механические,8,без пунктуации,36.54227470142715,18.80753866994016,29.002793139840573,127.0
механические,8,без служебных,36.089364841949326,20.704919209681435,29.358446220272715,131.66666666666666
механические,9,исходный,35.96668244511357,25.629326310784798,33.47547301831734,101.0
механические,9,все слова разные,28.6452479469795,29.94565564984151,31.40201265442037,136.33333333333334
механические,9,чужие хапаксы,51.136353446157244,17.640731044688362,32.62403630070556,101.0
механические,9,20 чужих хапаксов,35.19614744554139,20.345057150574892,30.51344920720448,107.0
механические,9,без пунктуации,90.43460967599201,28.422089994971298,41.91813586413211,101.0
механические,9,без служебных,50.71720433235243,25.1277505049966,36.776364394897,113.66666666666667
механические,10,исходный,26.712845897109474,16.220262227092476,28.70557666733578,134.33333333333334
механические,10,перемешивание,34.09047875212723,21.33278826127088,29.832600200442027,137.66666666666666
механические,10,эхо x2,29.109732221124357,20.94871973735698,29.370497221478605,113.33333333333333
механические,10,эхо на четверти,34.336759612087256,18.262363846651194,29.657802215013376,129.0
механические,10,все слова разные,27.96335978437914,26.345764864451116,31.74706040957322,145.33333333333334
механические,10,чужие хапаксы,23.536412580252904,20.61919699326779,27.328857212565932,136.0
механические,10,хапаксы одного домена,22.34573241862847,21.81999320339108,26.238741270294337,135.33333333333334
механические,10,20 чужих хапаксов,27.23331168789279,20.49514518401003,28.855759546765707,140.0
механические,10,маркер каждые 3,40.8189537726473,21.028954215086227,29.765499200532815,115.66666666666667
механические,10,без пунктуации,49.736550000369256,18.65974561286534,34.25480626102243,141.0
механические,10,без служебных,28.496676376646892,16.61617904321776,28.75332545083496,141.0
механические,11,исходный,40.06323390863222,20.343516032985626,33.46960566712027,121.0
