perturbation,mode,q,n,d0,delta,rel,effect
add_linebreaks,q_small,0.7,200,17.065368168057965,-0.4844255230760418,-0.02162409443164864,-0.27037100946936243
add_linebreaks,q_small,0.75,200,17.15399778664486,-0.45212937522969604,-0.018510368181011847,-0.22852647552473546
add_linebreaks,q_small,0.8,200,17.1940468699077,-0.38731259191637846,-0.013176179230810816,-0.1766074664379762
add_linebreaks,q_small,0.85,200,17.205576112581216,-0.26433748710872945,-0.004034710608665728,-0.10703147985918111
add_linebreaks,q_small,0.9,200,17.26836606986298,0.0054832479091326295,0.01506955734700196,0.0018947803007926302
add_typos,q0.5_range,0.0,200,4.868834044029737,0.36787087340033,0.07939773879668105,0.9448497816191685
add_typos,q0.5_range,0.05,200,5.493228688367082,0.43525180897029275,0.0830307914392632,1.0325015365551429
add_typos,q0.5_range,0.1,200,6.135708380205817,0.5083541106172299,0.0865503580977138,1.077859072798313
add_typos,q0.5_range,0.15,200,7.041429811325168,0.6380582049511122,0.0946499077248987,1.130252221782119
add_typos,q0.5_range,0.2,200,8.314702473197487,0.8301344465423575,0.10451390049035209,1.1769542737747518
add_typos,q0.5_range,0.25,200,9.958781754716112,1.0213931854346887,0.10832194928459156,1.1774129712713979
add_typos,q0.5_range,0.3,200,11.792150225515147,1.0946639667802476,0.09910577056309272,1.0960380855024805
add_typos,q0.5_range,0.35,200,13.483253706856171,0.9966798302559734,0.07929139637317949,0.9343238064410271
add_typos,q0.5_range,0.4,200,14.76606034226928,0.844321536030638,0.06150623126284795,0.7663748162112309
add_typos,q0.5_range,0.45,200,15.551153906749601,0.7620550789468032,0.053497029676152615,0.6414729073304672
add_typos,q0.5_range,0.5,200,16.158172757975546,0.5871345825067315,0.04165193335405929,0.44185029230764017
add_typos,q_large,0.0,200,8.332040262983808,0.4645170618669114,0.05869819341410895,0.8282683475216329
add_typos,q_large,0.05,200,8.019165989233327,0.4754317407099893,0.062102206165820656,0.8808420157496998
add_typos,q_large,0.1,200,7.733865298584845,0.4612916566311748,0.06233717147233428,0.8954402684783832
add_typos,q_large,0.15,200,7.425417331867411,0.45033305820806346,0.06334463563587342,0.9061003240341932
add_typos,q_large,0.2,200,7.10069037973331,0.4410045479556322,0.06487889493169546,0.9132786300171662
add_typos,q_large,0.25,200,6.761326990986117,0.4327223509216359,0.0668814418779754,0.9217028500592224
add_typos,q_large,0.3,200,6.409073668093284,0.4237123307719745,0.06913219462071646,0.9310216539282102
add_typos,q_large,0.35,200,6.044100242885731,0.4127188038641309,0.07148900045862844,0.9378221638789768
add_typos,q_large,0.4,200,5.665426877979743,0.4004419145527301,0.07410052535640958,0.9431808607841012
add_typos,q_large,0.45,200,5.273233700298906,0.3858204233785393,0.07680426305736514,0.9464853041455451
add_typos,q_large,0.5,200,4.868834044029737,0.36787087340033,0.07939773879668105,0.9448497816191685
add_typos,q_large,0.55,200,4.458030125824559,0.34348020399725143,0.08097566569107321,0.9310406191909181
add_typos,q_large,0.6,200,4.057356728522483,0.30728517929917737,0.0794927123143923,0.8881695529415545
add_typos,q_large,0.65,200,3.700173555760281,0.25204460311365884,0.07141816858456221,0.7908128793123326
add_typos,q_large,0.7,200,3.4266589225301947,0.18256491564019073,0.056476862269154535,0.6168488245157663
add_typos,q_large,0.75,200,3.2668464965398236,0.11974524451330407,0.04069007562508964,0.40874404763386685
add_typos,q_large,0.8,200,3.22337894016683,0.07764016447724216,0.02961531865250395,0.2424934865984673
add_typos,q_large,0.85,200,3.253674919248454,0.06286838666086957,0.026727219050963473,0.1637359806619375
add_typos,q_large,0.9,200,3.214656403209359,0.07183568299035734,0.03265815569893826,0.1469908098499112
add_typos,q_small,0.0,200,8.332040262983808,0.4645170618669114,0.05869819341410895,0.8282683475216329
add_typos,q_small,0.05,200,8.659961810012796,0.5187677137253152,0.06297651996097933,0.8903119378922554
