mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,L,config,text
q_large,0.3,6.561464951498243,0.5287979925517822,0.8475950100485319,3.353170200563479,0.9993704252417663,0.012246917234998081,0.023368748958963792,0.012282539545198461,5,25,128,128,legacy,xsum_25
q_large,0.6,3.879653135555871,0.3044487972643108,0.7422449984419235,3.025365954841413,0.9977771141375776,0.020168197099004744,0.03925796192610953,0.020226859843224983,5,25,128,128,legacy,xsum_25
q_large,0.9,1.5231525051183874,0.20170240864316752,0.3434669236077088,2.4992747515030396,0.8387709149898406,0.08668878538628635,0.15463761636223294,0.08694093494724688,5,25,128,128,legacy,xsum_25
q_small,0.0,9.368584747842112,0.8469379685870407,0.8932602920382043,3.6371448085749516,0.9996500383697797,0.009621487837504319,0.01786747897956431,0.009649473625091526,5,25,128,128,legacy,xsum_25
q_small,0.3,19.745456447506317,3.2595871512646464,0.9493554376593664,3.1932687933712356,0.9997673950120478,0.008336175589480462,0.012016755023116943,0.008360422820602814,5,25,128,128,legacy,xsum_25
q_small,0.6,28.565279781889924,5.5007488416202035,0.9649924661114648,2.6283652776260054,0.9998536140034845,0.006721767144652076,0.009980733024747224,0.006741318585208664,5,25,128,128,legacy,xsum_25
q_small,0.9,47.227951518679205,12.727516315161981,0.9788260983624393,1.2647345763450561,0.9998980571459183,0.005689630417190319,0.007318832421417731,0.005706179706759083,5,25,128,128,legacy,xsum_25
q0.5_range,0.0,17.98976072454115,2.5937458409534675,0.9444128237550249,2.5809782745905787,0.9997839983977762,0.007991259900566153,0.010782624419069187,0.008014503883815778,5,25,128,128,legacy,xsum_28
q0.5_range,0.3,28.765596198749535,4.535809941711346,0.9652362498211154,2.6974250173722614,0.9999032550804019,0.005465711458138187,0.009071942300579394,0.0054816094400785866,5,25,128,128,legacy,xsum_28
q_large,0.0,21.82299942978163,3.453134398234008,0.9541767847624415,3.392473240560812,0.9998267961533122,0.007229748850304479,0.011018796001542874,0.00725077784488937,5,25,128,128,legacy,xsum_28
q_large,0.3,20.87328796257171,2.9897189739707275,0.9520918792576848,2.9522344935489087,0.9998441907856903,0.006842065860765448,0.009378714251390363,0.00686196721127079,5,25,128,128,legacy,xsum_28
q_large,0.6,15.68118776498386,2.3772640048536946,0.936229320445164,2.3450733728958593,0.9996802158863726,0.00963958009631999,0.013522928331808792,0.009667618508420238,5,25,128,128,legacy,xsum_28
q_large,0.9,9.27723475976106,2.824578248021447,0.8922092599901228,0.7889588168710404,0.9959573923271255,0.03272315195381116,0.05685154173755169,0.032818332989762125,5,25,128,128,legacy,xsum_28
q_small,0.0,21.82299942978163,3.453134398234008,0.9541767847624415,3.392473240560812,0.9998267961533122,0.007229748850304479,0.011018796001542874,0.00725077784488937,5,25,128,128,legacy,xsum_28
