набор,текст,условие,каркас: черешок ср,каркас: ребро CV,до ближайшего повторного,одиночки: до ближайшей,каркас: ребро у одиночек ср,"каркас: доля рёбер одиночка-одиночка, %",одиночки: размер цепи,одиночки: разброс до ближайшей,каркас: ребро у одиночек CV,R = обменность,каркас: черешок CV,каркас: ребро ср
механические,22,хапаксы одного домена,0.7844412040503794,0.10743025096384345,0.8096219817290248,0.7774860523138125,0.7572607605637552,43.16416832219613,7.207142857142856,0.08952893085509282,0.10505920309536178,1.074817108430058,0.09760120818088307,0.7567436242870293
механические,22,20 чужих хапаксов,0.8030344086314436,0.11063870992222359,0.8190079396211001,0.8187475769176261,0.7829211569507296,27.954170030006097,5.601139601139601,0.09100100893585823,0.10897164840315032,1.125365491869495,0.1008017104774912,0.7686674759846598
механические,22,маркер каждые 3,0.8080956100565446,0.10996056887220469,0.8134122000978321,0.8153321407824143,0.7855447128912382,24.555460466885375,6.541666666666667,0.09067724696201533,0.10480380844805952,1.0798608557230722,0.09960567508203132,0.7793392885733663
механические,22,без пунктуации,0.8134828271937105,0.1053782263009156,0.8120792829273658,0.8294495359964964,0.7877746098654427,23.753526123600366,6.2384615384615385,0.07553522397097034,0.1043253876895578,1.086597907866088,0.09739887962279263,0.7773243919307097
механические,22,без служебных,0.796782933054986,0.12232972954965582,0.8050378586704133,0.7989966039008415,0.7723146789711312,27.694700121884583,4.985347985347985,0.08746003090170203,0.1149380651846955,1.0986069787103434,0.10480935334230196,0.7640974098386124
механические,23,исходный,0.7975251560611921,0.12690703331290873,0.8057062318738474,0.7845455902344032,0.7676604938339016,44.105913190279445,6.1989872872225815,0.09159261768565059,0.1173428654779477,1.1037715832208144,0.10678086268147742,0.7616530561411841
механические,23,перемешивание,0.8004224013109861,0.10986906637945078,0.8072014196230164,0.784649171296116,0.7702231905161566,47.120416955817724,7.208931419457735,0.08751407482518277,0.10636305651016881,1.0402518836474746,0.1019169544708826,0.7714854191037975
механические,23,эхо x2,0.8167812597424359,0.11212822354333384,0.8031436435871986,0.8308469887243565,0.7936783592736796,17.7278275676592,6.127777777777777,0.08527631497786166,0.10568150628422773,1.0386785790741393,0.09963344793679678,0.7852651732917008
механические,23,эхо x4,0.8347705910458499,0.11092477406969985,0.8111319912630949,0.8578765131200029,0.8043013915765438,9.128205128205128,7.3999999999999995,0.09182097442708409,0.10765145829858029,1.0234321183043302,0.09932181258351953,0.7982800501733093
механические,23,эхо на четверти,0.8021184448299952,0.12131052544959646,0.8006349693768379,0.806272431107829,0.7789722266238909,28.885782334058195,6.296568627450981,0.09303745857185751,0.11711630597374473,1.0691154521774022,0.11101936323070881,0.7745179854012663
механические,23,словарь к 25,0.79660303261379,0.15130961084294162,0.798224225410566,0.8310358615967486,0.7809562643283066,11.99938756864753,6.083333333333333,0.105297331234246,0.12378275123187621,1.0790441590095556,0.12875233482941087,0.7622395141136405
механические,23,словарь к 60,0.7991187760479913,0.13585060361035906,0.7964665749125888,0.8314115583702071,0.7771819273199071,14.067302893338743,5.648809523809523,0.0987911201599333,0.13998640910475374,1.0839375468595691,0.13476798389801414,0.7627377640306049
механические,23,все слова разные,0.80710392959983,0.10710848471357177,0.8830589093383572,0.7706723444678948,0.7737847956036833,81.32156103854217,6.211111111111111,0.09114022525497971,0.10724970040688574,1.0896304504364143,0.10726160521748612,0.7759922048923079
механические,23,чужие хапаксы,0.7902542805757422,0.13111645935236535,0.7972947623919752,0.7772898447832257,0.7621835187301574,47.83560969607481,6.778280542986425,0.09750276395308895,0.12256138656282889,1.059528210693126,0.11897659136438447,0.7610055327528927
механические,23,хапаксы одного домена,0.797950773724779,0.1339269205514718,0.8067699870060059,0.7777745738169369,0.7651069866139398,51.09529870029697,7.562685680332739,0.10779243727497635,0.1335808220841989,1.067005802650423,0.13138119357405775,0.76374369185478
механические,23,20 чужих хапаксов,0.7957174073717935,0.13528666319756733,0.8044687112602652,0.7808216473560757,0.7626934925997308,47.451968503937,5.89281045751634,0.10117327557111078,0.13338631123261785,1.0776759512175624,0.1230798821491632,0.7592426746062273
механические,23,маркер каждые 3,0.8197372109520941,0.11309927029078827,0.8171174887132899,0.8104213367540556,0.7923162107016507,37.712418300653596,7.068376068376068,0.09326851999089696,0.11038145684554314,1.0765464457568186,0.0912459070413097,0.7865228874663993
механические,23,без пунктуации,0.8051545855701975,0.11033408976237213,0.8057445733370053,0.8001301062647,0.7780605195274212,38.16022612558046,6.177777777777777,0.08256748873026225,0.10395833712242304,1.073664248525712,0.08820938258238205,0.7728241015793539
механические,23,без служебных,0.786221476953657,0.13672002566057392,0.7853536903760355,0.7815777988471105,0.7594775108188415,38.011072457262564,5.382721509656494,0.10313464300336288,0.12608956981494557,1.078098823618629,0.11732391319902169,0.7537155467221516
механические,24,исходный,0.7927005000873902,0.10935038923964634,0.8076147796675747,0.7817809957530488,0.7631209241484772,44.264932915722596,5.781862745098039,0.08846529302246768,0.10927483584714887,1.0850358855800024,0.10631349739126107,0.7593769444414985
механические,24,перемешивание,0.7950172273021684,0.10576328948335105,0.8028029183573301,0.7800086905188378,0.7671189593792175,46.376871116587175,6.107679738562092,0.08817324724590499,0.10215233187283013,1.0550641820192044,0.09651935310948971,0.7647480827708989
механические,24,эхо x2,0.8032953802023295,0.11046482119797263,0.8012673959824235,0.8011634421118915,0.7745875070003557,24.02276490326805,4.955128205128205,0.09833828143326452,0.1112564886562352,1.0773711155943986,0.09954571982947245,0.7645375650765086
механические,24,эхо x4,0.8234045607652215,0.10186319957198327,0.8113599631784592,0.8713951159804058,0.8053069576741407,6.977911646586345,5.311111111111111,0.0676580261813432,0.0918893820055537,1.051333749695114,0.08349623213394819,0.786837125227042
механические,24,эхо на четверти,0.795950757778732,0.10517213582814823,0.8084798390478647,0.7866259430482051,0.7661706851224953,38.854442239858905,5.349686433277764,0.08859207854069219,0.10863467214465483,1.0748424292177148,0.10457743800144342,0.7632893674203416
механические,24,словарь к 25,0.7912362288250714,0.12111270160917707,0.7864898774952763,0.8233301774522066,0.7695806062349387,15.10042149234748,4.7898148148148145,0.09530425802340914,0.11899617820552066,1.0933406605171945,0.11549530320892615,0.7483777849293696
механические,24,словарь к 60,0.7940046196359364,0.09922007636736803,0.7945756444810028,0.8130167399785,0.7737395476725984,20.69065632483523,5.233333333333333,0.07427245100212569,0.09713491242623813,1.0901325920748135,0.09235436077080623,0.7608062979376519
механические,24,все слова разные,0.7846794517126217,0.12342176082349404,0.8599485876770278,0.7540694303892185,0.7520630490858352,73.07650957498203,7.124603174603174,0.09918010075747892,0.12137960522705882,1.0614828803436531,0.11001304694828407,0.7565246827694723
механические,24,чужие хапаксы,0.7771687621439817,0.1298915286834326,0.7981291398427919,0.7557385375018809,0.7445138325047922,53.46399537102149,6.708333333333333,0.10926877492022341,0.13354783550928642,1.0432247277172257,0.12463510325761411,0.7481619779103236
