текст,условие,зерно,как есть: крупный,как есть: мелкий,как есть: средний,без оси: крупный,без оси: мелкий,без оси: средний,без случайного: крупный,без случайного: мелкий,без случайного: средний
1,исходный,2,19.178313975359057,4.114906524500285,16.105363402617122,19.18589364766709,4.113666350692982,16.107916443626692,19.19277462067903,4.115952191150483,16.10880417533362
1,чужие хапаксы,0,16.788545894917,4.999333623948908,14.147634839669351,16.92119678404546,4.991456503014698,14.342002774155635,16.79770718287665,5.000313990004216,14.147678382718453
1,чужие хапаксы,1,16.482270495925505,4.616574058123013,14.428003308201585,16.56340867876626,4.6030453289012545,14.637433194751543,16.501348164827473,4.616432202899013,14.436775194956425
1,чужие хапаксы,2,16.954512184163633,4.64884489093921,14.189806168581043,17.100957026710944,4.641038829916203,14.407558690677458,16.95674046733456,4.649468433009872,14.186922954491049
1,перемешивание,0,16.28007531950501,5.776890282259281,14.702336871994273,16.62436425546248,5.746642450653892,14.888877244287471,16.29014194591533,5.777080840344637,14.70004252202753
1,перемешивание,1,17.434261576301207,6.4721173088978485,15.365513025395847,17.710756830015182,6.4482236476979775,15.555561042202067,17.450821776434182,6.473652524279946,15.367321425876701
1,перемешивание,2,16.938932960421386,5.916800060740767,14.848348819785738,17.300655072527363,5.900266494525084,15.057852538237952,16.948132722463235,5.917617891401706,14.847417573616676
2,исходный,0,17.587977383553213,2.998589021489259,12.829151713300257,17.657089508535265,3.0047333573250414,12.925822556654094,17.57531394381736,2.9986787971032425,12.829041184040165
2,исходный,1,18.38964619742245,2.853876901384837,12.736039293918026,18.43565811121168,2.861495845578814,12.803512578542144,18.381310422449058,2.8535785408714434,12.727571893891975
2,исходный,2,18.8581425413519,3.038174150794819,12.7664167014873,18.852136239515076,3.044221144835146,12.807346457595411,18.8425553547591,3.0380147896718896,12.764579760383985
2,чужие хапаксы,0,14.850245759815945,3.3935382623220827,11.053131154697354,14.907656187743877,3.3929782352404465,11.096431838827996,14.845740131849087,3.3936600256781277,11.048331439805354
2,чужие хапаксы,1,16.13396661572673,3.4621796096681083,11.778657314409983,16.315723885244168,3.468471336302971,11.865526551831715,16.129244805113718,3.4625596491342003,11.78145664340631
2,чужие хапаксы,2,15.231408668208012,3.2937882814851305,11.46159056878854,15.272901195374894,3.2937631958541744,11.491754600804649,15.216634966024722,3.2937414715331848,11.456025092524987
2,перемешивание,0,14.37670047223208,4.772459694159061,11.790412800557517,14.65668210551809,4.775861966144886,11.913518947710964,14.382647807354582,4.772843025230363,11.795844185907853
2,перемешивание,1,14.798651656203674,4.927554383602924,12.231507285750936,15.018044532031743,4.931017632293613,12.334116866710492,14.798678897110749,4.927857660972878,12.230562720089662
2,перемешивание,2,13.983287291065842,4.851199630793424,11.48296798797841,14.160656976655538,4.854319026333769,11.60275385043915,13.983721184265816,4.850787792762799,11.481493001842267
3,исходный,0,18.331805128839076,4.371571410213645,14.970581347725371,18.52112520757769,4.370415922290549,15.06615994959255,18.33936214419363,4.3714033095533065,14.962748940329652
3,исходный,1,18.829495982157955,4.446164352682632,15.498291320206823,18.895238974001124,4.449435375764352,15.58852022376521,18.831953772068864,4.446184265571479,15.491500449000347
3,исходный,2,18.2432770501594,4.048518796617249,15.746757348802896,18.40983703658851,4.042860721417713,15.859702630037532,18.24827603724376,4.047194723874999,15.733836867530659
3,чужие хапаксы,0,14.64530555390201,5.21153860552288,14.39058147282554,14.895362439787025,5.19215306276241,14.496804558024468,14.652367439246136,5.209581664521484,14.39979848390002
3,чужие хапаксы,1,16.16682001853487,4.805771536906881,14.98610683070648,16.373655967259864,4.804284361594753,15.152698672977976,16.169663924800965,4.804695306809718,14.983110135249877
3,чужие хапаксы,2,16.575222524414436,4.795773702496319,15.32542133134306,16.788756804967957,4.796033725729549,15.373083918935444,16.578119423192057,4.794953542760503,15.325714128450409
3,перемешивание,0,19.023467840148744,5.777105755103343,15.578904493996088,19.53527657161753,5.776208372302617,15.80681564194091,19.031008369779514,5.776185898361582,15.579005962243007
3,перемешивание,1,19.15575140806993,6.20768423520253,16.608099288489466,19.62201826543823,6.201219764436146,16.84829503583618,19.175092945977962,6.20632154595985,16.612837404106852
3,перемешивание,2,17.156498396038685,6.174184614744057,15.173725040857983,17.573051691559414,6.18318058068992,15.415452742956262,17.1594874313121,6.173963920065643,15.172787433359606
4,исходный,0,18.54415170476959,3.3420370595598317,15.757485614479346,18.728576066910335,3.3419997546161047,15.828594545421538,18.517652754227054,3.342924686169156,15.736947809590442
4,исходный,1,18.70311179908269,3.3980607131940608,15.785936226645424,18.937594840017425,3.399137765245011,15.867577096224114,18.67071775423433,3.3987093639259585,15.766278812847812
