x,y,tok,cls,hap,text,norm
-10.056271,-7.326052,Ġcues,смысл-редк,hapax,10,38.151505
31.867386,-26.504044,.,пункт,повторяется,10,40.840614
2.9636748,-13.140104,Ġ15,пункт,hapax,10,37.17587
66.059555,-4.3884993,Ġthe,служ,повторяется,10,38.797497
31.821955,-26.526356,.,пункт,повторяется,10,40.944065
37.60514,21.642878,Ġif,служ,повторяется,10,40.110374
-25.73994,-13.414219,Ġfamily,смысл-част,повторяется,10,35.138096
23.626225,-0.56190044,Ġhim,служ,повторяется,10,36.205296
40.040905,1.8571965,I,подслово,повторяется,10,38.90981
35.24897,2.620853,ĠI,служ,повторяется,10,39.136253
