набор,текст,условие,полн: каркас ребро,полн: каркас CV,полн: ячейки ребро,q*
механические,10,перемешивание,0.7397964687526105,0.09472398706571512,0.45674054370589134,0.31666666666666665
механические,10,эхо x2,0.7579814007201996,0.07417481607072991,0.3376242585782821,0.4383333333333333
механические,10,эхо x4,0.7992190373146068,0.07987428931977851,0.24356178677237514,0.6116666666666667
механические,10,эхо на четверти,0.7521638541157097,0.09759426403598885,0.3781377644296975,0.36000000000000004
механические,10,словарь к 25,0.732063214686395,0.07497117528061438,0.4332596866743503,0.6766666666666667
механические,10,словарь к 60,0.7211259536466406,0.08876828152189693,0.43444953221802246,0.54
механические,10,все слова разные,0.721338934092553,0.09616498438178567,0.4267360601129358,0.2783333333333334
механические,10,чужие хапаксы,0.7183308983090613,0.10145268533914616,0.42671112934398586,0.32499999999999996
механические,10,хапаксы одного домена,0.7090392837948167,0.10922913953864544,0.4075222343024356,0.3283333333333333
механические,10,20 чужих хапаксов,0.7361716411519253,0.09743141796542436,0.42375184074701266,0.305
механические,10,маркер каждые 3,0.7478163766252309,0.10231925564754345,0.3894903926498494,0.4266666666666667
механические,10,без пунктуации,0.7565981896482133,0.0996335054312746,0.4697812580445113,0.3
механические,10,без служебных,0.7245519467403091,0.10938145647655999,0.3920142042158068,0.3
механические,11,исходный,0.7478031201896126,0.10334621149322841,0.4028938083098838,0.39999999999999997
механические,11,перемешивание,0.7583268155518299,0.08949471299151941,0.48945935968789284,0.39666666666666667
механические,11,эхо x2,0.7578030164749784,0.08334335347972917,0.3654272464478379,0.49833333333333335
механические,11,эхо x4,0.7949433353867689,0.08050375012175816,0.27121000848228416,0.6283333333333333
механические,11,эхо на четверти,0.7607615490547895,0.0873566954108378,0.38981233840819624,0.47
механические,11,словарь к 25,0.7664932734531686,0.08862844256043334,0.43311256163466477,0.6749999999999999
механические,11,словарь к 60,0.7529666319043189,0.09520378010629937,0.423729976297377,0.5716666666666667
механические,11,все слова разные,0.7219902131738665,0.097452373383925,0.41031361657402016,0.3133333333333333
механические,11,чужие хапаксы,0.7365500314009538,0.11111921028816825,0.39338419599447966,0.405
механические,11,хапаксы одного домена,0.7225087635637388,0.11563224598074064,0.4050956951145645,0.42
механические,11,20 чужих хапаксов,0.7394507704819695,0.09918026458526685,0.40569372950153854,0.4116666666666667
механические,11,маркер каждые 3,0.7749021330849066,0.09103625657337117,0.4079670556446848,0.52
механические,11,без пунктуации,0.7618561259374301,0.08886844926163111,0.4457795428587485,0.4166666666666667
механические,11,без служебных,0.7323394144015385,0.10905829969483755,0.4051658292701039,0.34500000000000003
механические,12,исходный,0.7548637035616049,0.10248706912890176,0.41200371170313693,0.4116666666666666
механические,12,перемешивание,0.7628824659428132,0.08380301654040288,0.47457641676493995,0.4566666666666667
механические,12,эхо x2,0.7663042987393894,0.09697576278286135,0.3701339952312151,0.5016666666666666
