набор,текст,условие,зерно,"бессмысленных, %","бессм. среди одиночек, %","бессм. среди повторных, %","бессм. среди смысловых, %","осмысленных одиночек, шт","осмысленных типов, шт","бессмысленных типов, шт"
механические,38,исходный,1.0,5.8733964237943015,7.740965502159532,4.9938454603769005,7.572463768115942,58.333333333333336,87.33333333333333,9.0
механические,38,маркер каждые 3,1.0,54.548805243720494,85.27777777777779,37.23044723044723,42.10699942627653,9.333333333333334,21.0,69.66666666666667
механические,38,перемешивание,1.0,99.81785063752277,100.0,99.6969696969697,100.0,0.0,0.3333333333333333,98.0
механические,38,словарь к 25,1.0,74.06316113191555,92.05291005291004,70.16376659361568,60.67632850241546,3.0,15.666666666666666,60.0
механические,38,словарь к 60,1.0,71.85204085765433,79.2708540382959,69.10666041636944,87.8718113112238,9.666666666666666,25.0,65.0
механические,38,хапаксы одного домена,1.0,73.75556203520141,78.42611566484517,70.8790233862096,87.70838064955711,13.333333333333334,26.333333333333332,71.66666666666667
механические,38,чужие хапаксы,1.0,84.22648059363001,91.60527442252669,79.10852158424974,93.3817356778219,5.666666666666667,17.0,87.66666666666667
механические,38,эхо x2,1.0,36.50429735956052,40.86659275683666,35.11972336399817,41.14024767334872,24.666666666666668,55.0,40.666666666666664
механические,38,эхо x4,1.0,15.435481977222027,14.285714285714285,15.488436294887906,14.520703346568348,13.333333333333334,52.666666666666664,16.666666666666668
механические,38,эхо на четверти,1.0,13.711520365640544,13.627026568203037,13.665779520941308,14.12792894935752,48.666666666666664,80.33333333333333,20.0
механические,39,20 чужих хапаксов,1.0,47.08156951462673,57.129629629629626,39.32104550661251,56.0957857719359,32.333333333333336,57.666666666666664,65.66666666666667
механические,39,без пунктуации,1.0,78.79208344766228,87.17423403469915,71.00868314805598,84.82555120486155,10.333333333333334,26.666666666666668,98.0
механические,39,без служебных,1.0,84.83882947118241,94.27544677544677,75.44715447154472,97.90005316321106,4.666666666666667,10.666666666666666,103.33333333333333
механические,39,все слова разные,1.0,92.32989681540433,98.68178999317314,81.78664722677844,97.81705948372615,1.3333333333333333,3.6666666666666665,118.33333333333333
механические,39,исходный,1.0,27.905196561383175,35.996548748921484,21.565826746067064,38.09239006607427,46.0,77.0,40.333333333333336
механические,39,маркер каждые 3,1.0,65.84812395010293,88.6568867988823,51.77411722954989,41.45578459303949,7.666666666666667,14.333333333333334,81.66666666666667
механические,39,перемешивание,1.0,100.0,100.0,100.0,100.0,0.0,0.0,110.0
механические,39,словарь к 25,1.0,77.8048713342831,88.64407623028313,75.50317928637145,68.9922480620155,3.6666666666666665,14.0,59.0
механические,39,словарь к 60,1.0,82.2649728548605,90.3800447918095,79.12468427095293,89.41993464052287,4.666666666666667,14.333333333333334,78.66666666666667
механические,39,хапаксы одного домена,1.0,88.93793646911769,96.19702842377261,83.03952220618886,99.5169082125604,3.0,7.666666666666667,108.33333333333333
механические,39,чужие хапаксы,1.0,92.00577200577202,95.51530190239868,89.72404913526117,99.35897435897436,3.0,6.333333333333333,97.0
механические,39,эхо x2,1.0,73.3450316542802,82.6219790241678,70.54924912741096,86.3919211095291,6.666666666666667,21.666666666666668,70.66666666666667
механические,39,эхо x4,1.0,24.529707184201566,46.6931216931217,23.290598290598286,28.446573751451798,5.0,46.333333333333336,20.666666666666668
механические,39,эхо на четверти,1.0,52.46319040436688,56.83060109289617,49.997089032214355,66.93133241807487,26.333333333333332,48.666666666666664,61.666666666666664
механические,4,20 чужих хапаксов,1.0,30.976470435043037,36.68981481481482,27.14381640794723,15.734265734265733,42.333333333333336,67.66666666666667,38.0
механические,4,без пунктуации,1.0,79.2097253529706,82.9817158931083,75.80384318950765,74.44311057756435,12.666666666666666,25.333333333333332,88.0
механические,4,без служебных,1.0,61.03205178604188,69.4078947368421,53.13725490196078,66.16548463356973,23.666666666666668,39.333333333333336,75.66666666666667
механические,4,все слова разные,1.0,93.74173087189253,96.6328280721272,89.73063973063972,97.82334211682037,3.0,6.0,107.0
механические,4,исходный,1.0,14.3819179155647,15.692071719468979,13.35361370051472,5.362158344969266,61.0,90.0,20.333333333333332
механические,4,маркер каждые 3,1.0,51.27663747649209,73.5444947209653,36.807760141093475,31.884876329320775,17.666666666666668,29.0,67.0
механические,4,перемешивание,1.0,96.47770870108803,100.0,93.9042893628238,100.0,0.0,3.3333333333333335,97.33333333333333
механические,4,словарь к 25,1.0,59.64380447139069,85.07297655904466,52.663540163540155,44.34108527131783,5.666666666666667,30.0,61.0
механические,4,словарь к 60,1.0,46.08960690131681,46.41071103837061,46.07153006129988,31.138975966562175,26.333333333333332,52.666666666666664,47.0
механические,4,хапаксы одного домена,1.0,81.43583213411092,87.82449056089416,76.19459742984526,91.10694183864916,9.0,17.666666666666668,88.0
механические,4,чужие хапаксы,1.0,77.8438392362443,84.83433777551424,72.96200971630698,80.06131131131131,10.0,19.666666666666668,81.33333333333333
механические,4,эхо x2,1.0,26.355264478570714,33.32914362326127,24.499687304565356,21.73833407875961,24.333333333333332,60.333333333333336,28.333333333333332
механические,4,эхо x4,1.0,7.75886815057322,30.277777777777775,6.712538645884784,9.365079365079366,5.0,44.666666666666664,6.333333333333333
механические,4,эхо на четверти,1.0,16.869576206925604,21.382978723404253,14.552084352492267,8.86566008517228,41.0,72.0,21.666666666666668
механические,40,20 чужих хапаксов,1.0,50.215053763440864,61.31813631813632,41.162640153726876,57.82572712663898,27.333333333333332,48.666666666666664,61.666666666666664
механические,40,без пунктуации,1.0,87.4141311227404,91.90814422642984,83.29040800884698,92.78221778221778,6.0,11.666666666666666,91.0
механические,40,без служебных,1.0,83.68327655529293,89.83747715953852,75.45617026368137,84.82100217158201,9.0,17.0,99.66666666666667
механические,40,все слова разные,1.0,97.76125466261402,98.02003410059676,97.36941792757106,97.90569076048978,1.6666666666666667,3.0,100.33333333333333
механические,40,исходный,1.0,26.816911250873517,34.927062612484605,20.59384733632716,29.60132890365448,45.333333333333336,70.66666666666667,37.0
механические,40,маркер каждые 3,1.0,57.935879267456876,84.40940940940942,39.05514301430143,42.62011618192769,11.0,21.333333333333332,75.66666666666667
механические,40,перемешивание,1.0,100.0,100.0,100.0,100.0,0.0,0.0,98.33333333333333
механические,40,словарь к 25,1.0,66.41553604682096,82.46224165341812,62.565551657343796,33.519683205217795,6.0,21.666666666666668,51.666666666666664
механические,40,словарь к 60,1.0,77.34753349697209,77.36111111111111,77.51597118798544,52.38095238095238,10.0,24.666666666666668,60.0
механические,40,хапаксы одного домена,1.0,92.5541407281645,95.04207023541166,90.0577736941753,97.76094276094277,3.6666666666666665,8.333333333333334,93.0
механические,40,чужие хапаксы,1.0,93.51157204937039,95.86466165413533,91.35733910662798,98.66666666666667,3.0,7.333333333333333,93.33333333333333
механические,40,эхо x2,1.0,49.556950818743275,58.85723986564323,45.02090120646822,53.60750360750361,21.333333333333332,44.333333333333336,55.0
механические,40,эхо x4,1.0,17.930581669501894,9.341880341880342,19.655060114890983,7.4924924924924925,22.666666666666668,56.666666666666664,16.333333333333332
механические,40,эхо на четверти,1.0,30.110742296096987,40.459939121910956,23.05860805860806,33.948829236841696,38.333333333333336,63.666666666666664,38.0
механические,41,20 чужих хапаксов,1.0,40.6287669698235,48.26015460592409,34.08426945690572,46.09246860799656,41.333333333333336,64.33333333333333,55.666666666666664
механические,41,без пунктуации,1.0,81.91365317125967,93.24915824915826,70.24818576453242,92.1961550993809,6.0,18.333333333333332,109.0
механические,41,без служебных,1.0,67.21004777252703,76.9448558481539,54.948520771305574,76.74102431565119,21.666666666666668,35.666666666666664,92.33333333333333
механические,41,все слова разные,1.0,98.36520865494447,99.30098082271995,97.06839583232268,100.0,0.6666666666666666,2.6666666666666665,113.0
механические,41,исходный,1.0,8.416664641604498,10.374419363183408,6.428911942975188,12.176188304779275,72.66666666666667,101.33333333333333,14.0
механические,41,маркер каждые 3,1.0,49.248587570621474,77.37211936296605,33.19319170493717,34.354612523626606,14.333333333333334,29.333333333333332,68.66666666666667
механические,41,перемешивание,1.0,100.0,100.0,100.0,100.0,0.0,0.0,117.33333333333333
механические,41,словарь к 25,1.0,91.46503962409706,95.40577625684007,90.31755512828659,94.32222920595014,1.6666666666666667,9.0,70.33333333333333
механические,41,словарь к 60,1.0,76.7274332355461,77.81565656565657,76.2640188651218,89.71996386630535,11.666666666666666,26.666666666666668,74.33333333333333
механические,41,хапаксы одного домена,1.0,70.53212851405623,71.47735971265384,69.76284584980237,71.76147054566508,20.333333333333332,34.666666666666664,77.66666666666667
механические,41,чужие хапаксы,1.0,90.92049786664647,88.40599214932308,93.0865886406242,89.4436090225564,8.666666666666666,12.666666666666666,92.66666666666667
механические,41,эхо x2,1.0,41.73279814166718,51.60625866508219,37.78578937767171,42.32804232804233,24.333333333333332,57.0,50.0
механические,41,эхо x4,1.0,28.232866451729418,37.638888888888886,27.277694344504585,22.791692434549578,10.666666666666666,47.666666666666664,24.0
механические,41,эхо на четверти,1.0,20.35882987867882,24.972095383054285,17.168858950267946,23.33479132494988,52.666666666666664,83.66666666666667,30.666666666666668
механические,42,20 чужих хапаксов,1.0,16.567550096961863,21.35157545605307,12.792937399678971,13.967544295413148,57.666666666666664,85.33333333333333,25.333333333333332
механические,42,без пунктуации,1.0,70.5069100308662,78.53560166721256,64.74710679378785,69.59237739041386,16.0,33.333333333333336,87.66666666666667
механические,42,без служебных,1.0,47.81617147811881,53.30800886356442,43.07990012484394,56.373568414707655,37.333333333333336,59.0,63.333333333333336
механические,42,все слова разные,1.0,92.93684138247549,97.461748577054,86.94980694980694,100.0,2.3333333333333335,7.0,108.33333333333333
механические,42,исходный,1.0,5.904484969370995,8.317581047148416,4.219991026713716,5.308998599439776,65.33333333333333,96.0,10.0
механические,42,маркер каждые 3,1.0,48.12739866672451,73.49933386054532,34.7027047027047,31.46020646020646,16.333333333333332,30.333333333333332,62.666666666666664
механические,42,перемешивание,1.0,98.67405791368252,98.23329823329823,99.05643421998563,100.0,1.3333333333333333,2.3333333333333335,100.66666666666667
механические,42,словарь к 25,1.0,56.194837375925694,63.66600353669319,54.8161918851574,53.82241215574549,10.666666666666666,34.0,42.0
механические,42,словарь к 60,1.0,34.539637791606026,42.10889381621089,32.21887883950378,36.588966588966585,24.0,52.0,35.666666666666664
механические,42,хапаксы одного домена,1.0,79.21161393714631,90.1716108129999,71.22004357298475,81.77955287872601,7.333333333333333,18.666666666666668,95.33333333333333
механические,42,чужие хапаксы,1.0,78.99820895441351,89.86170840711696,72.30912141915378,86.1712293736036,6.666666666666667,19.666666666666668,86.33333333333333
механические,42,эхо x2,1.0,20.451316615455777,31.170399648660517,16.413358181779234,21.582181259600617,33.0,64.33333333333333,27.333333333333332
механические,42,эхо x4,1.0,6.8486278801974665,4.958047292143402,7.041847041847042,3.90599876314162,18.0,57.333333333333336,6.0
механические,42,эхо на четверти,1.0,22.285253978778524,30.442666434752358,17.914277914277914,22.628083491461098,42.666666666666664,73.33333333333333,32.666666666666664
механические,43,20 чужих хапаксов,1.0,36.76280830708626,47.79432745534441,28.298274449487565,41.009929612870785,34.0,58.333333333333336,46.0
механические,43,без пунктуации,1.0,50.00304133584829,62.96809815194819,36.9550637156271,47.21010332950632,28.0,49.666666666666664,64.66666666666667
механические,43,без служебных,1.0,54.681341931268015,71.97357591509639,34.80388237384506,67.18393613554905,21.666666666666668,39.0,70.0
механические,43,все слова разные,1.0,96.91158178000283,100.0,92.92696886446886,100.0,0.0,2.6666666666666665,105.66666666666667
механические,43,исходный,1.0,15.80812101910828,21.222272692860926,11.915983172816368,16.596728090980964,54.0,83.33333333333333,23.333333333333332
механические,43,маркер каждые 3,1.0,65.62130177514793,93.13765736179528,50.81578781541564,43.42966454874633,4.0,9.666666666666666,76.33333333333333
механические,43,перемешивание,1.0,100.0,100.0,100.0,100.0,0.0,0.0,94.0
механические,43,словарь к 25,1.0,78.33873633358759,87.07916406087138,75.1383688883689,76.55560016057808,4.666666666666667,17.666666666666668,59.0
механические,43,словарь к 60,1.0,62.70952825574674,75.2464238490203,56.149704593100815,54.891304347826086,12.666666666666666,32.0,64.66666666666667
механические,43,хапаксы одного домена,1.0,76.82525486804518,94.58504578556493,63.76139444161885,79.43573472688814,3.6666666666666665,17.666666666666668,89.33333333333333
механические,43,чужие хапаксы,1.0,82.00435729847494,90.9375,75.06086142322097,79.96794871794872,6.0,15.333333333333334,86.33333333333333
механические,43,эхо x2,1.0,40.31763933179504,66.94802503871405,33.983005468798005,51.22358175750835,10.333333333333334,41.333333333333336,47.666666666666664
механические,43,эхо x4,1.0,8.683674186520486,5.5555555555555545,8.70096942580164,3.113895850737956,4.0,44.666666666666664,8.0
механические,43,эхо на четверти,1.0,31.25993351767845,42.97591297591297,24.204707484343967,32.65918146475365,34.0,64.33333333333333,41.333333333333336
механические,44,20 чужих хапаксов,1.0,16.636181517289433,20.247043156374144,14.297425807509427,10.51690531412214,53.0,84.66666666666667,25.333333333333332
механические,44,без пунктуации,1.0,80.34655722754218,83.99802933385023,78.73015873015873,77.1998949303914,11.0,24.666666666666668,89.33333333333333
механические,44,без служебных,1.0,37.324456440545625,53.73011989234158,28.0238221414692,42.15089672232529,29.0,55.666666666666664,53.666666666666664
механические,44,все слова разные,1.0,85.175084933931,94.89118796173942,77.83046410953388,92.71867612293143,3.6666666666666665,11.666666666666666,95.66666666666667
механические,44,исходный,1.0,4.662124033632414,5.607819871740542,4.164931742775372,1.5873015873015872,56.666666666666664,93.0,6.666666666666667
механические,44,маркер каждые 3,1.0,43.35664335664336,61.5531695054272,34.990832453033406,23.827561327561327,22.0,39.666666666666664,57.333333333333336
механические,44,перемешивание,1.0,99.61459203564466,100.0,99.41520467836257,100.0,0.0,0.6666666666666666,91.33333333333333
механические,44,словарь к 25,1.0,52.24780227643208,67.21177944862156,48.3227415360345,62.330623306233065,12.333333333333334,41.333333333333336,50.0
механические,44,словарь к 60,1.0,28.42775489115141,28.970962130335874,28.153935185185187,33.769841269841265,34.666666666666664,66.33333333333333,32.333333333333336
механические,44,хапаксы одного домена,1.0,45.100103865705194,61.87613843351548,36.84970014252607,55.595930232558146,21.666666666666668,46.666666666666664,57.0
механические,44,чужие хапаксы,1.0,64.33377236955054,81.40613081617086,54.589633111372244,72.22222222222223,12.0,33.333333333333336,78.66666666666667
механические,44,эхо x2,1.0,15.902344613298752,17.580138043943368,15.43438264108782,16.329167325845066,34.333333333333336,76.66666666666667,21.666666666666668
механические,44,эхо x4,1.0,11.977911336181755,21.428571428571427,11.219920659429413,5.296601529626788,11.666666666666666,52.0,14.0
