mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,policy,genre,text,ntok,L_used
q_large,0.6,4.2934989642913655,0.20842120036580591,0.7670897307028818,2.9932282165361075,0.9986982381721391,0.01461995219280428,0.02188857212987294,0.011306265194928377,8,51,256,abs_L,xsum,xsum_11,401,256
q_large,0.9,3.3080624218385757,0.4523054504686676,0.6977082435330184,1.4261805117111603,0.9793783737932245,0.0534455085626895,0.0807311182739916,0.0413318104819108,8,51,256,abs_L,xsum,xsum_11,401,256
q_small,0.0,8.385344656049682,0.3197901767970411,0.8807443174946255,3.636901786755802,0.999840033648399,0.005880984952584048,0.010768801120035754,0.004548029610796187,8,51,256,abs_L,xsum,xsum_11,401,256
q_small,0.3,13.145171233693427,0.7150315270709799,0.9239264379122867,3.200252778916292,0.9998796601165867,0.0053508093856853445,0.009870668896467372,0.0041380210498804726,8,51,256,abs_L,xsum,xsum_11,401,256
q_small,0.6,15.469555204947042,0.6292853611472855,0.9353569002630271,2.6409175702460206,0.9999525801803052,0.0034003119391951726,0.004821320467027768,0.0026296138334121065,8,51,256,abs_L,xsum,xsum_11,401,256
q_small,0.9,14.955602625589302,0.8267212315250639,0.9331354258979185,1.3625916260000408,0.9999058709822305,0.004779451304326156,0.007822194112557135,0.003696164202202686,8,51,256,abs_L,xsum,xsum_11,401,256
q0.5_range,0.0,6.623493823283756,0.44621297823878525,0.849022279376985,2.8979816022477376,0.999139650078227,0.01315208815085926,0.02254383746959121,0.010171100051467907,8,51,256,abs_L,xsum,xsum_12,407,256
q0.5_range,0.3,15.907516111609292,0.8920002828580975,0.9371366344699031,2.7452845104017336,0.9999151153719974,0.004558133419993112,0.007892059220893977,0.0035250091491867493,8,51,256,abs_L,xsum,xsum_12,407,256
q_large,0.0,10.859314056344791,0.5964402257068767,0.9079131522662126,3.4931402039829,0.9998138315621462,0.00654016829390902,0.011298177193357795,0.0050578056737280025,8,51,256,abs_L,xsum,xsum_12,407,256
q_large,0.3,8.51734780016363,0.5191079876713306,0.8825925600947294,3.163792507769667,0.9996057630071502,0.009252854493802162,0.01617663775307232,0.00715564766131739,8,51,256,abs_L,xsum,xsum_12,407,256
q_large,0.6,5.526224469113639,0.39413740455243973,0.8190446288258733,2.7461085654025776,0.9985124525724218,0.016688503493817453,0.027688702554760525,0.012905968755524154,8,51,256,abs_L,xsum,xsum_12,407,256
q_large,0.9,4.742840650934642,0.5340153614882999,0.789155893356245,0.9594155405320923,0.9945995831826073,0.030697532485892392,0.046518132296031744,0.023739779620227015,8,51,256,abs_L,xsum,xsum_12,407,256
q_small,0.0,10.859314056344791,0.5964402257068767,0.9079131522662126,3.4931402039829,0.9998138315621462,0.00654016829390902,0.011298177193357795,0.0050578056737280025,8,51,256,abs_L,xsum,xsum_12,407,256
